run_dir,nested_mode,benchmark,log_path,total_cycles,comp_count,loop_count
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,15,30
bubo_runs20_BuboNested,Nested,Json,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Json_BuboOn.log,155288818668,22,48
bubo_runs20_BuboNested,Nested,LoopBenchmarks,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/LoopBenchmarks_BuboOn.log,223362522438,55,153
bubo_runs20_BuboNested,Nested,Mandelbrot,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Mandelbrot_BuboOn.log,273816722850,13,30
bubo_runs20_BuboNested,Nested,NBody,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/NBody_BuboOn.log,181407799362,12,30
bubo_runs20_BuboNested,Nested,Sieve,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Sieve_BuboOn.log,539243276430,16,52
bubo_runs21_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs21_BuboNested/logs/Bounce_BuboOn.log,223492633696,15,30
bubo_runs21_BuboNested,Nested,Json,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs21_BuboNested/logs/Json_BuboOn.log,154953537046,22,48
bubo_runs21_BuboNested,Nested,LoopBenchmarks,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs21_BuboNested/logs/LoopBenchmarks_BuboOn.log,222290804750,55,153
bubo_runs21_BuboNested,Nested,Mandelbrot,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs21_BuboNested/logs/Mandelbrot_BuboOn.log,273179623328,13,30
bubo_runs21_BuboNested,Nested,NBody,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs21_BuboNested/logs/NBody_BuboOn.log,181171899346,12,30
bubo_runs21_BuboNested,Nested,Sieve,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs21_BuboNested/logs/Sieve_BuboOn.log,538246895402,16,52
bubo_runs22_BuboNoNested,NoNested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs22_BuboNoNested/logs/Bounce_BuboOn.log,182196024706,15,23
bubo_runs22_BuboNoNested,NoNested,Json,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs22_BuboNoNested/logs/Json_BuboOn.log,154946039340,21,39
bubo_runs22_BuboNoNested,NoNested,LoopBenchmarks,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs22_BuboNoNested/logs/LoopBenchmarks_BuboOn.log,185108147824,55,113
bubo_runs22_BuboNoNested,NoNested,Mandelbrot,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs22_BuboNoNested/logs/Mandelbrot_BuboOn.log,212793751604,13,20
bubo_runs22_BuboNoNested,NoNested,NBody,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs22_BuboNoNested/logs/NBody_BuboOn.log,180203331748,12,20
bubo_runs22_BuboNoNested,NoNested,Sieve,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs22_BuboNoNested/logs/Sieve_BuboOn.log,301607432998,16,33
bubo_runs23_BuboNoNested,NoNested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs23_BuboNoNested/logs/Bounce_BuboOn.log,180714243372,15,23
bubo_runs23_BuboNoNested,NoNested,Json,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs23_BuboNoNested/logs/Json_BuboOn.log,155337105160,21,39
bubo_runs23_BuboNoNested,NoNested,LoopBenchmarks,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs23_BuboNoNested/logs/LoopBenchmarks_BuboOn.log,184108792112,55,113
bubo_runs23_BuboNoNested,NoNested,Mandelbrot,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs23_BuboNoNested/logs/Mandelbrot_BuboOn.log,212492276848,13,20
bubo_runs23_BuboNoNested,NoNested,NBody,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs23_BuboNoNested/logs/NBody_BuboOn.log,179888658584,12,20
bubo_runs23_BuboNoNested,NoNested,Sieve,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs23_BuboNoNested/logs/Sieve_BuboOn.log,300918277226,16,33
