benchmark,mode,run_name,file_path,total_cycles,bench_method,comp_id,comp_name,encoding,outer_loop_id,outer_loop_cycles,comp_sum_loop_cycles
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench1,115,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,1017786,1148450
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench2,119,InnerLoopStepBenchmark.bench2()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,5570866,5725656
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench3,122,InnerLoopStepBenchmark.bench3()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,11171202,11389546
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench4,125,InnerLoopStepBenchmark.bench4()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,56327532,56596926
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench5,126,InnerLoopStepBenchmark.bench5(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,120596736,120928018
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench6,131,InnerLoopStepBenchmark.bench6()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,602907928,603572782
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench7,135,InnerLoopStepBenchmark.bench7()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,1205611842,1206871650
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench8,139,InnerLoopStepBenchmark.bench8()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,6028383616,6034539512
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench9,143,InnerLoopStepBenchmark.bench9()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,12054720320,12066900496
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench10,147,InnerLoopStepBenchmark.bench10()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,60330943230,60391474438
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,202732949882,bench11,151,InnerLoopStepBenchmark.bench11()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,120639887320,120760926222
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench1,115,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,1008828,1139420
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench2,119,InnerLoopStepBenchmark.bench2()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,5529114,5680032
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench3,122,InnerLoopStepBenchmark.bench3()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,11161608,11379980
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench4,125,InnerLoopStepBenchmark.bench4()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,56297020,56601732
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench5,126,InnerLoopStepBenchmark.bench5(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,120570988,120941428
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench6,131,InnerLoopStepBenchmark.bench6()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,602754456,603436734
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench7,135,InnerLoopStepBenchmark.bench7()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,1205477936,1206724088
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench8,139,InnerLoopStepBenchmark.bench8()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,6027090538,6033184194
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench9,143,InnerLoopStepBenchmark.bench9()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,12054780356,12066941746
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench10,147,InnerLoopStepBenchmark.bench10()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,60333779882,60394346358
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,202834080128,bench11,151,InnerLoopStepBenchmark.bench11()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,120749022110,120870022146
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench1,115,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,1024810,1155968
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench2,119,InnerLoopStepBenchmark.bench2()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,5573402,5727864
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench3,122,InnerLoopStepBenchmark.bench3()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,11157882,11375850
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench4,125,InnerLoopStepBenchmark.bench4()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,56327712,56614768
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench5,126,InnerLoopStepBenchmark.bench5(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,120549256,120923860
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench6,131,InnerLoopStepBenchmark.bench6()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,602851602,603516306
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench7,135,InnerLoopStepBenchmark.bench7()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,1205993166,1207239330
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench8,139,InnerLoopStepBenchmark.bench8()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,6029750190,6035857266
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench9,143,InnerLoopStepBenchmark.bench9()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,12057363362,12069540066
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench10,147,InnerLoopStepBenchmark.bench10()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,60344878026,60405528988
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,202772771476,bench11,151,InnerLoopStepBenchmark.bench11()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",5,120663413766,120784612738
