benchmark,baseline_noBubo,slowdown_noBubo,slowdown_withBubo,baseline_withBubo,slowdown_noBubo_pct,slowdown_withBubo_pct,baseline_withBubo_pct
Richards,75526,144085,164010,96501,90.77536212694966,117.15700553451791,27.77189312289807
Bounce,112997,217677,235534,119053,92.63962760073277,108.44270201863766,5.359434321265166
Mandelbrot,128344,262007,272943,150973,104.14433086081156,112.66518107585864,17.631521535872345
NBody,108782,214469,214479,109359,97.15486017907374,97.16405287639499,0.5304186354360096
Permute,99232,189888,459362,380704,91.35762657207353,362.9172041277007,283.6504353434376
Sieve,180960,395061,460620,254355,118.3139920424403,154.54244031830237,40.55868700265252
Queens,69295,135217,134886,69000,95.13240493542102,94.65473699401112,-0.42571614113572404
List,287698,581492,581256,287646,102.11888855675049,102.0368580942516,-0.01807450868619177
CD,114891,212802,246690,153116,85.22077447319634,114.71655743269709,33.270665239226744
Json,60443,124462,140536,79013,105.91631785318398,132.50996806908987,30.723160663765864
Storage,149541,206037,345085,251697,37.77960559311494,130.76280083722858,68.31303789596164
