comp_id,method,node,loop_id
53,java.util.ImmutableCollections$SetN$SetNIterator.next,b5,0
53,java.util.ImmutableCollections$SetN$SetNIterator.next,b6,0
53,java.util.ImmutableCollections$SetN$SetNIterator.next,b7,0
57,java.util.HashMap.putVal,b39,0
57,java.util.HashMap.putVal,b40,0
57,java.util.HashMap.putVal,b42,0
58,java.lang.String.equals,b12,0
58,java.lang.String.equals,b13,0
58,java.lang.String.equals,b14,0
75,java.util.HashMap.resize,b24,2
75,java.util.HashMap.resize,b25,2
75,java.util.HashMap.resize,b49,0
75,java.util.HashMap.resize,b50,0
75,java.util.HashMap.resize,b51,0
75,java.util.HashMap.resize,b52,0
75,java.util.HashMap.resize,b53,0
75,java.util.HashMap.resize,b54,0
75,java.util.HashMap.resize,b56,0
75,java.util.HashMap.resize,b59,0
75,java.util.HashMap.resize,b60,0
75,java.util.HashMap.resize,b61,0
75,java.util.HashMap.resize,b62,0
75,java.util.HashMap.resize,b63,1
75,java.util.HashMap.resize,b64,1
75,java.util.HashMap.resize,b65,1
75,java.util.HashMap.resize,b66,1
75,java.util.HashMap.resize,b67,1
75,java.util.HashMap.resize,b68,1
75,java.util.HashMap.resize,b69,1
75,java.util.HashMap.resize,b70,1
75,java.util.HashMap.resize,b71,1
75,java.util.HashMap.resize,b72,0
75,java.util.HashMap.resize,b73,0
75,java.util.HashMap.resize,b74,0
75,java.util.HashMap.resize,b75,0
75,java.util.HashMap.resize,b76,0
75,java.util.HashMap.resize,b77,0
84,jdk.internal.util.ArraysSupport.unsignedHashCode,b19,0
84,jdk.internal.util.ArraysSupport.unsignedHashCode,b20,0
84,jdk.internal.util.ArraysSupport.unsignedHashCode,b22,1
84,jdk.internal.util.ArraysSupport.unsignedHashCode,b23,1
84,jdk.internal.util.ArraysSupport.unsignedHashCode,b25,2
84,jdk.internal.util.ArraysSupport.unsignedHashCode,b26,2
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b10,0
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b11,0
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b13,1
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b14,1
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b16,2
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b17,2
87,java.lang.StringCoding.countPositives,b23,0
87,java.lang.StringCoding.countPositives,b24,0
87,java.lang.StringCoding.countPositives,b26,0
88,java.lang.StringCoding.countPositives,b12,0
88,java.lang.StringCoding.countPositives,b13,0
88,java.lang.StringCoding.countPositives,b15,0
133,BuboAgentCompilerMarkers.warmupMarkers,b3,0
133,BuboAgentCompilerMarkers.warmupMarkers,b4,0
133,BuboAgentCompilerMarkers.warmupMarkers,b6,1
133,BuboAgentCompilerMarkers.warmupMarkers,b7,1
133,BuboAgentCompilerMarkers.warmupMarkers,b9,2
133,BuboAgentCompilerMarkers.warmupMarkers,b10,2
134,BuboAgentCompilerMarkers.warmupMarkers,b1,0
134,BuboAgentCompilerMarkers.warmupMarkers,b2,0
134,BuboAgentCompilerMarkers.warmupMarkers,b4,1
134,BuboAgentCompilerMarkers.warmupMarkers,b5,1
134,BuboAgentCompilerMarkers.warmupMarkers,b7,2
134,BuboAgentCompilerMarkers.warmupMarkers,b8,2
138,java.lang.StringLatin1.equals,b8,0
138,java.lang.StringLatin1.equals,b9,0
138,java.lang.StringLatin1.equals,b10,0
140,java.util.Properties$LineReader.readLine,b39,5
140,java.util.Properties$LineReader.readLine,b40,5
140,java.util.Properties$LineReader.readLine,b43,5
140,java.util.Properties$LineReader.readLine,b54,3
140,java.util.Properties$LineReader.readLine,b55,3
140,java.util.Properties$LineReader.readLine,b56,3
140,java.util.Properties$LineReader.readLine,b57,3
140,java.util.Properties$LineReader.readLine,b59,3
140,java.util.Properties$LineReader.readLine,b60,3
140,java.util.Properties$LineReader.readLine,b62,3
140,java.util.Properties$LineReader.readLine,b63,4
140,java.util.Properties$LineReader.readLine,b64,4
