comp_id,method,loop_id,num_blocks_matched,median_pct_slowdown
191,LoopBenchmarks.parseJsonLoop,0,12,98.95463462879192
195,LoopBenchmarks.matrixMultiplyLoop,1,2,159.23913043478262
195,LoopBenchmarks.matrixMultiplyLoop,2,3,112.40483654276758
197,LoopBenchmarks.sieveLoop,3,4,124.53217271263134
197,LoopBenchmarks.sieveLoop,4,1,92.25589225589225
200,LoopBenchmarks.sieveLoop,0,1,0.0
200,LoopBenchmarks.sieveLoop,1,1,800.0
200,LoopBenchmarks.sieveLoop,2,1,0.0
201,LoopBenchmarks.sieveLoop,0,3,114.58333333333334
204,LoopBenchmarks.histogramLoop,1,6,110.49323017408122
208,LoopBenchmarks.crc32Loop,0,18,98.58890345128876
214,LoopBenchmarks.editDistanceLoop,0,1,0.0
214,LoopBenchmarks.editDistanceLoop,1,12,69.76902173913044
214,LoopBenchmarks.editDistanceLoop,2,5,120.52401746724892
214,LoopBenchmarks.editDistanceLoop,3,1,100.0
214,LoopBenchmarks.editDistanceLoop,4,2,123.07692307692308
214,LoopBenchmarks.editDistanceLoop,5,1,36.36363636363637
214,LoopBenchmarks.editDistanceLoop,6,2,412.5
217,LoopBenchmarks.monteCarloPiLoop,0,3,103.97022332506201
219,LoopBenchmarks.bubbleSortLoop,0,2,0.0
219,LoopBenchmarks.bubbleSortLoop,1,2,104.45151066452364
223,LoopBenchmarks.blurLoop,0,3,0.0
223,LoopBenchmarks.blurLoop,2,2,104.26033416957713
223,LoopBenchmarks.blurLoop,3,1,25.0
229,LoopBenchmarks.base64EncodeLoop,1,2,86.44444444444444
232,LoopBenchmarks.raySphereLoop,0,5,121.9298245614035
