Method,TotalBlocks,KeptBlocks_95pctNormal,TotalNormalTime,KeptNormalTime,KeptNormalFraction,MedianPct_AllBlocks,MedianPct_95pctNormalBlocks
LoopBenchmarks::crc32Loop,26,16,9.365999999999998,8.861,0.94608157164211,85.32992955059893,103.31127653708302
LoopBenchmarks::main,43,4,8.955999999999996,8.131,0.9078829834747659,0.0,0.5687912785818551
LoopBenchmarks::editDistanceLoop,47,4,6.286000000000003,5.725,0.9107540566337888,50.0,102.11158161933697
LoopBenchmarks::bubbleSortLoop,11,2,5.311,5.2620000000000005,0.9907738655620412,0.0,106.39688508000619
LoopBenchmarks::monteCarloPiLoop,6,2,4.7589999999999995,4.309,0.9054423198150874,74.22204641350211,103.57407736127774
LoopBenchmarks::parseJsonLoop,15,7,4.185,3.8760000000000003,0.9261648745519715,115.3846153846154,87.35818476499189
LoopBenchmarks::sieveLoop,26,6,3.3339999999999996,3.1529999999999996,0.9457108578284343,0.0,92.3141257961442
LoopBenchmarks::matrixMultiplyLoop,10,2,3.018,2.952,0.9781312127236581,0.0,104.97755819947128
LoopBenchmarks::base64EncodeLoop,2,1,2.3,2.268,0.9860869565217392,99.87048059964727,102.86596119929455
LoopBenchmarks::histogramLoop,11,3,2.4410000000000003,2.2550000000000003,0.9238017206063089,17.894736842105264,90.47619047619047
LoopBenchmarks::raySphereLoop,8,4,2.3440000000000003,2.227,0.9500853242320817,7.871678914641041,86.46344855775507
LoopBenchmarks::blurLoop,22,1,1.523999999999999,1.414,0.9278215223097119,0.0,100.99009900990102
