tool,benchmark,run_type,method_key,samples,total_samples,runtime_share_pct
async,LoopBenchmarks,noSlow,Harness::main,567064,7379355,7.684465647742926
async,LoopBenchmarks,noSlow,LoopBenchmarks::base64EncodeLoop,105903,7379355,1.4351254276288374
async,LoopBenchmarks,noSlow,LoopBenchmarks::blurLoop,186184,7379355,2.5230389376849334
async,LoopBenchmarks,noSlow,LoopBenchmarks::bubbleSortLoop,693059,7379355,9.391864194092845
async,LoopBenchmarks,noSlow,LoopBenchmarks::crc32Loop,1289910,7379355,17.47998300664489
async,LoopBenchmarks,noSlow,LoopBenchmarks::editDistanceLoop,782167,7379355,10.599395204594439
async,LoopBenchmarks,noSlow,LoopBenchmarks::histogramLoop,301283,7379355,4.082782302789336
async,LoopBenchmarks,noSlow,LoopBenchmarks::main,14536,7379355,0.1969819855529379
async,LoopBenchmarks,noSlow,LoopBenchmarks::mandelbrotLoop,204745,7379355,2.774564985693194
async,LoopBenchmarks,noSlow,LoopBenchmarks::matrixMultiplyLoop,394599,7379355,5.34733726728149
async,LoopBenchmarks,noSlow,LoopBenchmarks::monteCarloPiLoop,600910,7379355,8.143123619882768
async,LoopBenchmarks,noSlow,LoopBenchmarks::parseJsonLoop,542632,7379355,7.35337980080915
async,LoopBenchmarks,noSlow,LoopBenchmarks::polynomialLoop,375885,7379355,5.0937378673339335
async,LoopBenchmarks,noSlow,LoopBenchmarks::raySphereLoop,312612,7379355,4.236305205536256
async,LoopBenchmarks,noSlow,LoopBenchmarks::sieveLoop,444514,7379355,6.0237513983268185
