tool,benchmark,run_type,method_key,samples,total_samples,runtime_share_pct
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::base64EncodeLoop,229,4921,4.653525706157286
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::blurLoop,146,4921,2.9668766510871776
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::bubbleSortLoop,528,4921,10.729526519000203
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::crc32Loop,914,4921,18.573460678723837
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::editDistanceLoop,612,4921,12.436496647022963
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::histogramLoop,240,4921,4.877057508636455
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::main,27,4921,0.5486689697216013
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::mandelbrotLoop,183,4921,3.7187563503352976
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::matrixMultiplyLoop,297,4921,6.035358666937615
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::monteCarloPiLoop,470,4921,9.550904287746393
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::parseJsonLoop,410,4921,8.33163991058728
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::polynomialLoop,293,4921,5.954074375127007
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::raySphereLoop,232,4921,4.714488925015241
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::sieveLoop,336,4921,6.827880512091039
jfr,LoopBenchmarks,noSlow,java.lang.String::substring,1,4921,0.0203210729526519
jfr,LoopBenchmarks,noSlow,java.lang.invoke.MethodType::makeImpl,1,4921,0.0203210729526519
jfr,LoopBenchmarks,noSlow,jdk.internal.classfile.impl.DirectClassBuilder::withMethod,1,4921,0.0203210729526519
jfr,LoopBenchmarks,noSlow,jdk.internal.classfile.impl.SplitConstantPool::maybeCloneUtf8Entry,1,4921,0.0203210729526519
