tool,benchmark,run_type,method_key,samples,total_samples,runtime_share_pct
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::base64EncodeLoop,464,9316,4.9806784027479605
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::blurLoop,296,9316,3.1773293258909403
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::bubbleSortLoop,1131,9316,12.140403606698154
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::crc32Loop,1851,9316,19.869042507513953
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::editDistanceLoop,1255,9316,13.471446972949764
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::histogramLoop,400,9316,4.293688278231
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::main,30,9316,0.32202662086732503
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::mandelbrotLoop,179,9316,1.9214255045083728
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::matrixMultiplyLoop,667,9316,7.159725203950193
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::monteCarloPiLoop,933,9316,10.015027908973808
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::parseJsonLoop,702,9316,7.5354229282954055
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::polynomialLoop,291,9316,3.1236582224130527
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::raySphereLoop,466,9316,5.002146844139115
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::sieveLoop,647,9316,6.945040790038644
jfr,LoopBenchmarks,slowdown,java.util.regex.Pattern$BmpCharPropertyGreedy::match,1,9316,0.010734220695577501
jfr,LoopBenchmarks,slowdown,jdk.jfr.internal.PlatformRecorder::periodicTask,1,9316,0.010734220695577501
jfr,LoopBenchmarks,slowdown,jdk.jfr.internal.consumer.EventLog::update,1,9316,0.010734220695577501
jfr,LoopBenchmarks,slowdown,jdk.jfr.internal.periodic.PeriodicEvents::doPeriodic,1,9316,0.010734220695577501
