CompId,Method,LoopId,BaselineCycles,SlowdownCycles,PercentChangeCycles,BaselineSharePercent
115,Benchmark.innerBenchmarkLoop(int)-Re-Comp,0,20519014794,41727598620,103.36063421622777,33.51370199618254
99,Bounce.benchmark()-Re-Comp,0,20298203288,41409978866,104.00810001977354,33.153050615806514
99,Bounce.benchmark()-Re-Comp,1,18605138326,39695462146,113.35752226322899,30.387768014946076
99,Bounce.benchmark()-Re-Comp,2,1342134210,2890668592,115.3785046578911,2.1921074868552908
114,Benchmark.innerBenchmarkLoop(int),0,420032872,811118192,93.10826510740331,0.6860395902109746
99,Bounce.benchmark()-Re-Comp,3,40781478,142428312,249.24754811485747,0.06660837834453556
52,java.util.ImmutableCollections$SetN$SetNIterator.next(),0,253790,274030,7.9750975215729545,0.00041451514680413695
98,Bounce.benchmark(),0,84678,111458,31.625687900044873,0.00013830455731542104
98,Bounce.benchmark(),1,81612,108006,32.34083223055433,0.0001332968602426385
93,"java.lang.StringLatin1.equals(byte[],",0,11740,9434,-19.642248722316864,1.9174939215416557e-05
57,"java.util.HashMap.putVal(int,",0,6076,7172,18.03818301514154,9.923929358847613e-06
58,java.lang.String.equals(Object),0,4420,4088,-7.51131221719457,7.219184951630423e-06
98,Bounce.benchmark(),2,908,2504,175.77092511013214,1.4830361846335802e-06
