Level,CompId,LoopId,BaselineSamples,AsyncSlowSamples,AsyncNoBubo,JfrBaselineSamples,JfrSamples,JfrNoBubo
50,139,1,320,292,-8.75,0,0,0.0
50,140,1,142596,448488,214.51653622822516,0,0,0.0
50,567,1,0,0,0.0,0,1,0.0
50,139,2,16726,16740,0.0837020208059309,0,0,0.0
50,568,2,0,0,0.0,5963,9483,59.03068925037732
50,140,0,220,551,150.45454545454547,0,0,0.0
50,567,2,0,0,0.0,13,12,-7.6923076923076925
50,568,1,0,0,0.0,103,313,203.88349514563106
50,140,2,7881546,12537163,59.06984492636344,0,0,0.0
100,139,1,331,313,-5.438066465256798,0,0,0.0
100,140,1,148672,501865,237.56524429616874,0,0,0.0
100,567,1,0,0,0.0,0,1,0.0
100,139,2,16783,16736,-0.2800452839182506,0,0,0.0
100,568,2,0,0,0.0,5944,12602,112.0121130551817
100,140,0,213,501,135.2112676056338,0,0,0.0
100,567,2,0,0,0.0,12,12,0.0
100,568,1,0,0,0.0,126,363,188.0952380952381
100,140,2,7901256,16698480,111.33956424143199,0,0,0.0
150,139,1,320,307,-4.0625,0,0,0.0
150,140,1,153546,555451,261.74892214710906,0,0,0.0
150,139,2,16781,16758,-0.13705976997795127,0,0,0.0
150,568,2,0,0,0.0,5987,15231,154.40120260564555
150,140,0,211,655,210.4265402843602,0,0,0.0
150,567,2,0,0,0.0,13,13,0.0
150,568,1,0,0,0.0,125,403,222.40000000000003
150,140,2,7911792,20109718,154.17399749639523,0,0,0.0
200,139,1,315,325,3.1746031746031744,0,0,0.0
200,140,1,128881,560207,334.6699668686618,0,0,0.0
200,567,1,0,0,0.0,1,0,-100.0
200,568,2,0,0,0.0,5948,18605,212.7942165433759
200,568,1,0,0,0.0,112,363,224.10714285714283
200,140,0,159,606,281.1320754716981,0,0,0.0
200,567,2,0,0,0.0,12,13,8.333333333333332
200,139,2,16873,16737,-0.8060214543945948,0,0,0.0
200,140,2,7859342,25101605,219.385579607046,0,0,0.0
