comp_id,loop_id,samples,percentage,total_samples
140,0,6890,0.025121,27427349
140,1,5734,0.020906,27427349
142,1,1209,0.004408,27427349
145,1,10640,0.038793,27427349
145,2,17835,0.065026,27427349
145,3,3400,0.012396,27427349
158,0,174,0.000634,27427349
158,5,8093,0.029507,27427349
158,6,11913,0.043435,27427349
158,9,2117,0.007719,27427349
159,0,206711,0.753667,27427349
159,1,1070,0.003901,27427349
159,2,6907127,25.183356,27427349
159,3,13144678,47.925441,27427349
159,4,2343064,8.542802,27427349
159,5,17861,0.065121,27427349
