benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
Bounce,52,0,0,244304,242248,-0.8415744318553933,6.205366719750117e-05,390384663696,92.59591368779951
Bounce,57,0,0,8276,5934,-28.298695021749637,1.5200392207571247e-06,390384663696,92.59591368779951
Bounce,58,0,0,3812,3424,-10.178384050367262,8.770836353003699e-07,390384663696,92.59591368779951
Bounce,84,0,0,392,594,51.53061224489795,1.5215761663797305e-07,390384663696,92.59591368779951
Bounce,84,1,0,24,148,516.6666666666667,3.7911325357609444e-08,390384663696,92.59591368779951
Bounce,84,2,0,92,86,-6.521739130434782,2.20295539240163e-08,390384663696,92.59591368779951
Bounce,85,0,0,79886,73168,-8.40948351400746,1.8742539552470052e-05,390384663696,92.59591368779951
Bounce,85,1,0,113324,114046,0.6371112915181251,2.921375007928329e-05,390384663696,92.59591368779951
Bounce,85,2,0,99124,99382,0.2602800532666156,2.5457454977634744e-05,390384663696,92.59591368779951
Bounce,87,0,0,410,436,6.341463414634147,1.1168471524268728e-07,390384663696,92.59591368779951
Bounce,88,0,0,11142,11854,6.390235146293305,3.0364922350615026e-06,390384663696,92.59591368779951
Bounce,138,0,0,19150,16790,-12.323759791122715,4.3008861672585315e-06,390384663696,92.59591368779951
Bounce,140,1,1,257950,256514,-0.5566970343089745,6.57080115728502e-05,390384663696,92.59591368779951
Bounce,140,2,0,12246,12230,-0.1306549077249714,3.132807494078132e-06,390384663696,92.59591368779951
Bounce,140,5,0,728,794,9.065934065934066,2.0338913739149933e-07,390384663696,92.59591368779951
Bounce,141,1,1,3660,3714,1.4754098360655739,9.513693403929829e-07,390384663696,92.59591368779951
Bounce,141,2,0,1830,2012,9.94535519125683,5.153890987804743e-07,390384663696,92.59591368779951
Bounce,142,0,2,10974,10434,-4.920721705850192,2.672748437711466e-06,390384663696,92.59591368779951
Bounce,142,1,1,12068,12386,2.635067948293006,3.1727680802658826e-06,390384663696,92.59591368779951
Bounce,142,2,0,15222,15178,-0.28905531467612666,3.887960109985109e-06,390384663696,92.59591368779951
Bounce,142,5,0,654,860,31.49847094801223,2.2029553924016298e-07,390384663696,92.59591368779951
Bounce,143,1,1,348106,350454,0.674507190338575,8.97714568707815e-05,390384663696,92.59591368779951
Bounce,143,2,0,47770,48026,0.5359011932175005,1.2302225078544265e-05,390384663696,92.59591368779951
Bounce,172,0,0,3066,3074,0.2609262883235486,7.874284739816988e-07,390384663696,92.59591368779951
Bounce,172,1,0,82118,82336,0.2654716383740471,2.1090992463811698e-05,390384663696,92.59591368779951
Bounce,172,2,0,860,1048,21.86046511627907,2.684531687484777e-07,390384663696,92.59591368779951
Bounce,173,0,0,16600436178,16805051870,1.232592263275409,4.304741818209953,390384663696,92.59591368779951
Bounce,173,1,0,164345571722,355318119346,116.20182133476713,91.01743802689263,390384663696,92.59591368779951
Bounce,173,2,1,12329060822,15509686966,25.797797495852116,3.9729242483966245,390384663696,92.59591368779951
Bounce,173,3,0,358824906,1106363166,208.3295355200344,0.28340333749933017,390384663696,92.59591368779951
Bounce,186,0,1,375627812,746697990,98.78666226131307,0.19127236785650678,390384663696,92.59591368779951
Bounce,187,0,1,193522499828,387479817162,100.22468576335386,99.25590147253786,390384663696,92.59591368779951
Bounce,195,0,0,37828,45926,21.407423072856087,1.1764294110632237e-05,390384663696,92.59591368779951
Bounce,195,1,0,13766,15928,15.705361034432661,4.080078312810833e-06,390384663696,92.59591368779951
Bounce,195,2,0,11464,10496,-8.443824145150035,2.6886302091450592e-06,390384663696,92.59591368779951
Bounce,207,0,0,672,744,10.714285714285714,1.9058125720311772e-07,390384663696,92.59591368779951
Bounce,208,0,0,606,532,-12.211221122112212,1.362758452043799e-07,390384663696,92.59591368779951
