benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
CD,52,0,0,238968,237626,-0.5615814669746577,5.811269703137948e-05,408905475290,85.15543199608813
CD,57,0,0,6538,6940,6.148669317834201,1.6972137619527057e-06,408905475290,85.15543199608813
CD,58,0,0,3666,3790,3.382433169667212,9.268645760519819e-07,408905475290,85.15543199608813
CD,84,0,0,1012,708,-30.039525691699602,1.7314515035482932e-07,408905475290,85.15543199608813
CD,84,1,0,24,150,525.0,3.668329456670113e-08,408905475290,85.15543199608813
CD,84,2,0,84,98,16.666666666666664,2.3966419116911404e-08,408905475290,85.15543199608813
CD,85,0,0,90198,93390,3.53888112818466,2.2839019197228123e-05,408905475290,85.15543199608813
CD,85,1,0,122462,121930,-0.43442047328967354,2.981862737678579e-05,408905475290,85.15543199608813
CD,85,2,0,105156,103368,-1.700330936893758,2.527919195180508e-05,408905475290,85.15543199608813
CD,87,0,0,626,384,-38.65814696485623,9.390923409075488e-08,408905475290,85.15543199608813
CD,88,0,0,14220,14042,-1.2517580872011251,3.4340454820374487e-06,408905475290,85.15543199608813
CD,138,0,0,28242,25024,-11.394377168755753,6.119751754914194e-06,408905475290,85.15543199608813
CD,140,1,1,259310,248118,-4.316069569241448,6.067857120867167e-05,408905475290,85.15543199608813
CD,140,2,0,11730,11956,1.926683716965047,2.9239031322631914e-06,408905475290,85.15543199608813
CD,140,5,0,860,802,-6.744186046511628,1.9613334828329538e-07,408905475290,85.15543199608813
CD,141,1,1,3808,3386,-11.081932773109243,8.280642360190003e-07,408905475290,85.15543199608813
CD,141,2,0,2034,1832,-9.931170108161258,4.4802530430797645e-07,408905475290,85.15543199608813
CD,142,0,2,12158,10458,-13.982562921533148,2.5575592971904028e-06,408905475290,85.15543199608813
CD,142,1,1,12848,12560,-2.2415940224159403,3.071614531718441e-06,408905475290,85.15543199608813
CD,142,2,0,16690,14950,-10.42540443379269,3.6561016918145458e-06,408905475290,85.15543199608813
CD,142,5,0,846,766,-9.456264775413711,1.8732935758728709e-07,408905475290,85.15543199608813
CD,143,1,1,354378,324502,-8.430545914249755,7.935868302322433e-05,408905475290,85.15543199608813
CD,143,2,0,47528,47548,0.042080457835381245,1.1628115267050036e-05,408905475290,85.15543199608813
CD,172,0,1,56280864988,95992617184,70.55995355520423,23.475503015928325,408905475290,85.15543199608813
CD,175,0,1,15388717068,33897095314,120.2723928461013,8.28971421572671,408905475290,85.15543199608813
CD,179,0,1,14121721738,20087282890,42.2438656042013,4.912451435323504,408905475290,85.15543199608813
CD,186,0,0,189510,181292,-4.336446625507889,4.433591892390921e-05,408905475290,85.15543199608813
CD,186,1,0,436098,407242,-6.616861347678733,9.959318830621667e-05,408905475290,85.15543199608813
CD,190,0,1,17538148280,17307227820,-1.3166752630512029,4.232574241693764,408905475290,85.15543199608813
CD,196,0,4,684996,810610,18.33791730170687,0.000198238969391424,408905475290,85.15543199608813
CD,196,1,3,11102,10858,-2.197802197802198,2.6553814160349388e-06,408905475290,85.15543199608813
CD,196,2,3,31612,30404,-3.82133367075794,7.4354592533732075e-06,408905475290,85.15543199608813
CD,196,3,3,638832,570896,-10.63440779422446,0.00013961564089967605,408905475290,85.15543199608813
CD,196,4,0,262,132,-49.61832061068702,3.2281299218696994e-08,408905475290,85.15543199608813
CD,196,5,0,288,284,-1.3888888888888888,6.94537043796208e-08,408905475290,85.15543199608813
