benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_noBubo_pct
Sieve,52,0,0,241428,240188,-0.5136106831022085,3.147333781637469e-05,763147529510,118.3139920424403
Sieve,57,0,0,6876,6842,-0.4944735311227457,8.965501079972173e-07,763147529510,118.3139920424403
Sieve,58,0,0,3184,3302,3.7060301507537687,4.3268173876159177e-07,763147529510,118.3139920424403
Sieve,84,0,0,592,372,-37.16216216216216,4.874548964848945e-08,763147529510,118.3139920424403
Sieve,84,1,0,26,148,469.2307692307692,1.9393366849399026e-08,763147529510,118.3139920424403
Sieve,84,2,0,84,92,9.523809523809524,1.2055336149626422e-08,763147529510,118.3139920424403
Sieve,85,0,0,82504,85058,3.095607485697663,1.1145682415379612e-05,763147529510,118.3139920424403
Sieve,85,1,0,113776,125020,9.882576290254535,1.638215353724234e-05,763147529510,118.3139920424403
Sieve,85,2,0,96542,107110,10.946531043483665,1.4035294075940068e-05,763147529510,118.3139920424403
Sieve,87,0,0,396,486,22.727272727272727,6.368362357302654e-08,763147529510,118.3139920424403
Sieve,88,0,0,10286,11678,13.532957417849504,1.5302414734275799e-06,763147529510,118.3139920424403
Sieve,138,0,0,16992,21432,26.129943502824858,2.808369177812973e-06,763147529510,118.3139920424403
Sieve,140,1,1,261628,248462,-5.032335988502759,3.2557531852266086e-05,763147529510,118.3139920424403
Sieve,140,2,0,11850,12134,2.3966244725738397,1.5899940091257283e-06,763147529510,118.3139920424403
Sieve,140,5,0,972,858,-11.728395061728394,1.1242911322151598e-07,763147529510,118.3139920424403
Sieve,141,1,1,3288,3352,1.9464720194647203,4.3923355188638876e-07,763147529510,118.3139920424403
Sieve,141,2,0,1692,1788,5.673758865248227,2.3429283734273958e-07,763147529510,118.3139920424403
Sieve,142,0,2,10462,10962,4.779200917606576,1.4364195094804873e-06,763147529510,118.3139920424403
Sieve,142,1,1,12378,12082,-2.391339473259008,1.5831801234759395e-06,763147529510,118.3139920424403
Sieve,142,2,0,15212,14994,-1.43307914804102,1.964757719864115e-06,763147529510,118.3139920424403
Sieve,142,5,0,664,746,12.349397590361445,9.775305182197077e-08,763147529510,118.3139920424403
Sieve,143,1,1,373208,390852,4.727658571091724,5.12157852690629e-05,763147529510,118.3139920424403
Sieve,143,2,0,47942,47930,-0.02503024487922907,6.280568061430374e-06,763147529510,118.3139920424403
Sieve,168,0,0,51156,71458,39.68644929236062,9.363589245434837e-06,763147529510,118.3139920424403
Sieve,168,1,0,2198,3614,64.42220200181984,4.735650526603249e-07,763147529510,118.3139920424403
Sieve,168,2,0,25262,35816,41.77816483255483,4.6931947775545646e-06,763147529510,118.3139920424403
Sieve,169,0,0,266628236,255604298,-4.134572603930815,0.033493431887818316,763147529510,118.3139920424403
Sieve,169,1,0,254122814,255540472,0.5578633329630923,0.033485068367328244,763147529510,118.3139920424403
Sieve,170,0,0,790,592,-25.063291139240505,7.75734673975961e-08,763147529510,118.3139920424403
Sieve,170,1,0,5008,6486,29.512779552715656,8.499011985486627e-07,763147529510,118.3139920424403
Sieve,170,2,0,82,68,-17.073170731707318,8.910465849723878e-09,763147529510,118.3139920424403
Sieve,171,0,0,369532,268118,-27.44390201660479,3.5133180627886275e-05,763147529510,118.3139920424403
Sieve,171,1,0,34816972,35184924,1.0568179220180318,0.004610500937163677,763147529510,118.3139920424403
Sieve,171,2,0,177564,175622,-1.0936901624203106,2.3012850492061864e-05,763147529510,118.3139920424403
Sieve,174,0,0,790134,960670,21.583174499515273,0.00012588260629197408,763147529510,118.3139920424403
Sieve,174,1,0,545124260,769848860,41.224472379930404,0.10087811730115968,763147529510,118.3139920424403
Sieve,174,2,0,530716486,963562452,81.55879408652854,0.126261622391503,763147529510,118.3139920424403
Sieve,174,3,0,69343782,147003618,111.99250136082857,0.0192628046761008,763147529510,118.3139920424403
Sieve,174,4,0,358928,366356,2.0694958320331653,4.800592098296237e-05,763147529510,118.3139920424403
Sieve,186,0,1,15543238,15696366,0.9851743890172691,0.0020567931354083377,763147529510,118.3139920424403
Sieve,186,1,0,1706,1052,-38.33528722157092,1.3785014814572822e-07,763147529510,118.3139920424403
Sieve,186,2,0,48072,47812,-0.5408553835912797,6.265105782455853e-06,763147529510,118.3139920424403
Sieve,186,3,0,42102,42000,-0.24226877583012682,5.503523024829454e-06,763147529510,118.3139920424403
Sieve,186,4,0,452448,443216,-2.0404554777565598,5.807736811840027e-05,763147529510,118.3139920424403
Sieve,186,5,0,374351074,355374662,-5.069148539426923,0.046566967494237735,763147529510,118.3139920424403
Sieve,186,6,0,364981872,363504048,-0.4049033975035341,0.047632211852064545,763147529510,118.3139920424403
Sieve,186,7,0,5080,5086,0.11811023622047244,6.664504310543477e-07,763147529510,118.3139920424403
Sieve,186,8,0,86,82,-4.651162790697675,1.0744973524667028e-08,763147529510,118.3139920424403
Sieve,186,9,0,48281356,48209094,-0.14966853872124056,0.006317139496075416,763147529510,118.3139920424403
Sieve,186,10,0,386418,253766,-34.3286285835546,3.325254818854455e-05,763147529510,118.3139920424403
Sieve,187,0,1,5962174058,8664929324,45.33170685235973,1.1354199534084266,763147529510,118.3139920424403
Sieve,187,1,0,300332210,357848626,19.15093156341772,0.04689114649034724,763147529510,118.3139920424403
Sieve,187,2,0,201470988778,289254094710,43.571090043503894,37.902775482444866,763147529510,118.3139920424403
Sieve,187,3,0,195226322242,405248935306,107.57904500380779,53.10230586295697,763147529510,118.3139920424403
Sieve,187,4,0,25207732270,55409932156,119.81323652006559,7.260710414875808,763147529510,118.3139920424403
Sieve,187,5,0,196525822,400759956,103.92228966227147,0.052514086792277107,763147529510,118.3139920424403
Sieve,195,0,0,39480,47300,19.807497467071936,6.198015216057933e-06,763147529510,118.3139920424403
Sieve,195,1,0,11714,16740,42.90592453474475,2.193547034182025e-06,763147529510,118.3139920424403
Sieve,195,2,0,17050,12030,-29.442815249266864,1.5763662378261507e-06,763147529510,118.3139920424403
