benchmark,comp_id,loop_id,label,baseline_cycles,slowdown_cycles,percent_increase,runtime_share_pct,is_core_95pct,total_baseline_cycles,total_slowdown_cycles,overall_slowdown_pct_noBubo,source
Bounce,187,0,C187L0,195768529598,387479817162,97.92753102741727,99.13830572110726,False,197470118310,390384663696,92.63962760073277,-at Benchmark.innerBenchmarkLoop(int) [bci: 2] | -at Benchmark.innerBenchmarkLoop(int) [bci: 26]
Bounce,173,0,C173L0,183234641052,372123171216,103.08560056086529,92.79107270516123,False,197470118310,390384663696,92.63962760073277,-at Bounce.benchmark() [bci: 33] | -at Bounce.benchmark() [bci: 89]
Bounce,173,1,C173L1,166658580038,355318119346,113.20121608199443,84.39686037781662,False,197470118310,390384663696,92.63962760073277,-at Bounce.benchmark() [bci: 52] | -at Bounce.benchmark() [bci: 83]
Bounce,173,2,C173L2,12007846856,15509686966,29.162931139900607,6.080842488355321,False,197470118310,390384663696,92.63962760073277,-at java.util.Arrays.setAll(Arrays.java:5097) [bci: 7]
Bounce,186,0,C186L0,380503798,746697990,96.23930008709138,0.19268930471934145,False,197470118310,390384663696,92.63962760073277,-at Benchmark.innerBenchmarkLoop(int) [bci: 2] | -at Benchmark.innerBenchmarkLoop(int) [bci: 26]
Bounce,173,3,C173L3,365843748,1106363166,202.4141240757243,0.18526537135389637,False,197470118310,390384663696,92.63962760073277,"-at jdk.graal.compiler.hotspot.replacements.HotSpotAllocationSnippets.allocateArray(KlassPointer, int, int, int, AllocationSnippets$FillContent, int, boolean, boolean, boolean, boolean, HotSpotAllocationSnippets$HotSpotAllocationProfilingData, boole"
Bounce,143,1,C143L1,413132,398480,-3.546566230647832,0.00020921241326824017,False,197470118310,390384663696,92.63962760073277,-at java.util.Properties$LineReader.readLine(Properties.java:538) [bci: 219] | -at java.util.Properties$LineReader.readLine(Properties.java:543) [bci: 259]
Bounce,143,0,C143L0,351798,337876,-3.9573846355010547,0.00017815252404301859,False,197470118310,390384663696,92.63962760073277,-at java.util.Properties$LineReader.readLine(Properties.java:504) [bci: 53] | -at java.util.Properties$LineReader.readLine(Properties.java:615) [bci: 577]
Bounce,140,1,C140L1,254226,256514,0.8999866260728642,0.00012874150386687943,False,197470118310,390384663696,92.63962760073277,-at java.util.Properties$LineReader.readLine(Properties.java:538) [bci: 219] | -at java.util.Properties$LineReader.readLine(Properties.java:543) [bci: 259]
Bounce,52,0,C52L0,242540,242248,-0.12039251257524532,0.00012282364647153688,False,197470118310,390384663696,92.63962760073277,-at java.util.ImmutableCollections$SetN$SetNIterator.next(ImmutableCollections.java:1213) [bci: 21] | -at java.util.ImmutableCollections$SetN$SetNIterator.next(ImmutableCollections.java:1223) [bci: 65]
Bounce,85,1,C85L1,126096,114046,-9.556211140718183,6.385573730302184e-05,False,197470118310,390384663696,92.63962760073277,Source Missing | -at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:381) [bci: 34]
Bounce,85,2,C85L2,98188,99382,1.2160345459730315,4.972296610764106e-05,False,197470118310,390384663696,92.63962760073277,Source Missing | -at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:381) [bci: 34]
Bounce,172,0,C172L0,85694,85410,-0.33141176745163026,4.3395932880068774e-05,False,197470118310,390384663696,92.63962760073277,-at Bounce.benchmark() [bci: 33] | -at Bounce.benchmark() [bci: 89]
Bounce,85,0,C85L0,84590,73168,-13.502778106159122,4.2836860950883585e-05,False,197470118310,390384663696,92.63962760073277,-at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:378) [bci: 8] | -at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:381) [bci: 34]
Bounce,172,1,C172L1,82616,82336,-0.3389174009877022,4.1837216034025277e-05,False,197470118310,390384663696,92.63962760073277,-at Bounce.benchmark() [bci: 52] | -at Bounce.benchmark() [bci: 83]
Bounce,143,2,C143L2,48090,48026,-0.13308380120607194,2.4353051697931098e-05,False,197470118310,390384663696,92.63962760073277,-at java.util.Properties$LineReader.readLine(Properties.java:540) [bci: 224] | -at java.util.Properties$LineReader.readLine(Properties.java:545) [bci: 262]
Bounce,142,0,C142L0,37824,37998,0.4600253807106599,1.915429044338835e-05,False,197470118310,390384663696,92.63962760073277,-at java.util.Properties$LineReader.readLine(Properties.java:504) [bci: 53] | -at java.util.Properties$LineReader.readLine(Properties.java:615) [bci: 577]
Bounce,195,0,C195L0,31850,45926,44.19466248037677,1.6129022594699634e-05,False,197470118310,390384663696,92.63962760073277,-at java.lang.StringLatin1.inflate(StringLatin1.java:767) [bci: 3] | -at java.lang.StringLatin1.inflate(StringLatin1.java:770) [bci: 33]
Bounce,142,1,C142L1,27398,27564,0.6058836411416891,1.387450427157239e-05,False,197470118310,390384663696,92.63962760073277,-at java.util.Properties$LineReader.readLine(Properties.java:538) [bci: 219] | -at java.util.Properties$LineReader.readLine(Properties.java:543) [bci: 259]
Bounce,73,0,C73L0,26756,0,-100.0,1.3549391791013608e-05,False,197470118310,390384663696,92.63962760073277,-at java.util.HashMap.resize(HashMap.java:714) [bci: 151] | -at java.util.HashMap.resize(HashMap.java:755) [bci: 353]
