benchmark,comp_id,loop_id,label,baseline_cycles,slowdown_cycles,percent_increase,runtime_share_pct,is_core_95pct,total_baseline_cycles,total_slowdown_cycles,overall_slowdown_pct_noBubo,source
CD,262,0,C262L0,199319246696,0,-100.0,78.50458943693222,True,253895024642,408905475290,85.22077447319634,-at CD.benchmark(int) [bci: 28] | -at CD.benchmark(int) [bci: 72]
CD,224,0,C224L0,117815091062,0,-100.0,46.40307198934796,False,253895024642,408905475290,85.22077447319634,-at cd.CollisionDetector.reduceCollisionSet(Vector) [bci: 10] | -at cd.CollisionDetector.reduceCollisionSet(Vector) [bci: 36]
CD,250,0,C250L0,79969959462,0,-100.0,31.497253471098997,False,253895024642,408905475290,85.22077447319634,-at cd.CollisionDetector.handleNewFrame(Vector) [bci: 19] | -at cd.CollisionDetector.handleNewFrame(Vector) [bci: 117]
CD,210,0,C210L0,58694881082,0,-100.0,23.117775216257836,False,253895024642,408905475290,85.22077447319634,"-at cd.RedBlackTree.treeInsert(Comparable, Object) [bci: 8] | -at cd.RedBlackTree.treeInsert(Comparable, Object) [bci: 90]"
CD,218,0,C218L0,33202344560,0,-100.0,13.07719385475015,False,253895024642,408905475290,85.22077447319634,-at cd.RedBlackTree.forEach(ForEachInterface) [bci: 16] | -at cd.RedBlackTree.forEach(ForEachInterface) [bci: 52]
CD,198,0,C198L0,17472852420,6326893624,-63.79015016026788,6.88191997643013,False,253895024642,408905475290,85.22077447319634,-at cd.RedBlackTree.findNode(Comparable) [bci: 5]
CD,211,0,C211L0,15293832944,2754,-99.99998199274171,6.023683593471273,False,253895024642,408905475290,85.22077447319634,-at cd.RedBlackTree.findNode(Comparable) [bci: 5] | -at cd.RedBlackTree.findNode(Comparable) [bci: 49]
CD,237,0,C237L0,14124566560,0,-100.0,5.563152164921737,False,253895024642,408905475290,85.22077447319634,"-at cd.RedBlackTree.put(Comparable, Object) [bci: 25] | -at cd.RedBlackTree.put(Comparable, Object) [bci: 353]"
CD,224,1,C224L1,9443177646,0,-100.0,3.719323629643857,False,253895024642,408905475290,85.22077447319634,-at cd.RedBlackTree.forEach(ForEachInterface) [bci: 16]
CD,250,1,C250L1,7257362230,0,-100.0,2.858410573516795,False,253895024642,408905475290,85.22077447319634,-at cd.CollisionDetector.handleNewFrame(Vector) [bci: 198] | -at cd.CollisionDetector.handleNewFrame(Vector) [bci: 329]
