benchmark,comp_id,loop_id,label,baseline_cycles,slowdown_cycles,percent_increase,runtime_share_pct,is_core_95pct,total_baseline_cycles,total_slowdown_cycles,overall_slowdown_pct_noBubo,source
List,188,0,C188L0,473214847368,956326947560,102.09149245401916,99.28939048203415,False,476601623870,962884167212,102.11888855675049,-at Benchmark.innerBenchmarkLoop(int) [bci: 2] | -at Benchmark.innerBenchmarkLoop(int) [bci: 26]
List,187,0,C187L0,907568646,1855245072,104.41925579698794,0.1904250007858875,False,476601623870,962884167212,102.11888855675049,-at Benchmark.innerBenchmarkLoop(int) [bci: 2] | -at Benchmark.innerBenchmarkLoop(int) [bci: 26]
List,143,1,C143L1,379858,384114,1.1204186827709302,7.970136503429366e-05,False,476601623870,962884167212,102.11888855675049,-at java.util.Properties$LineReader.readLine(Properties.java:538) [bci: 219] | -at java.util.Properties$LineReader.readLine(Properties.java:543) [bci: 259]
List,143,0,C143L0,319878,324228,1.3598934593813892,6.711643099379187e-05,False,476601623870,962884167212,102.11888855675049,-at java.util.Properties$LineReader.readLine(Properties.java:504) [bci: 53] | -at java.util.Properties$LineReader.readLine(Properties.java:615) [bci: 577]
List,140,1,C140L1,245926,231770,-5.7562030854809985,5.1599908116779696e-05,False,476601623870,962884167212,102.11888855675049,-at java.util.Properties$LineReader.readLine(Properties.java:538) [bci: 219] | -at java.util.Properties$LineReader.readLine(Properties.java:543) [bci: 259]
List,52,0,C52L0,243624,234164,-3.8830328703247625,5.111690514643567e-05,False,476601623870,962884167212,102.11888855675049,-at java.util.ImmutableCollections$SetN$SetNIterator.next(ImmutableCollections.java:1213) [bci: 21] | -at java.util.ImmutableCollections$SetN$SetNIterator.next(ImmutableCollections.java:1223) [bci: 65]
List,85,1,C85L1,114408,111356,-2.6676456191874696,2.400495387972208e-05,False,476601623870,962884167212,102.11888855675049,Source Missing | -at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:381) [bci: 34]
List,85,2,C85L2,97850,96130,-1.757792539601431,2.053077352222577e-05,False,476601623870,962884167212,102.11888855675049,Source Missing | -at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:381) [bci: 34]
List,85,0,C85L0,80796,80576,-0.2722907074607654,1.695252301994638e-05,False,476601623870,962884167212,102.11888855675049,-at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:378) [bci: 8] | -at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:381) [bci: 34]
List,143,2,C143L2,47684,47758,0.15518832312725442,1.0005001580314904e-05,False,476601623870,962884167212,102.11888855675049,-at java.util.Properties$LineReader.readLine(Properties.java:540) [bci: 224] | -at java.util.Properties$LineReader.readLine(Properties.java:545) [bci: 262]
List,142,0,C142L0,37974,37852,-0.3212724495707589,7.967660641113963e-06,False,476601623870,962884167212,102.11888855675049,-at java.util.Properties$LineReader.readLine(Properties.java:504) [bci: 53] | -at java.util.Properties$LineReader.readLine(Properties.java:615) [bci: 577]
List,71,0,C71L0,34220,0,-100.0,7.180000714671085e-06,False,476601623870,962884167212,102.11888855675049,-at java.util.HashMap.resize(HashMap.java:714) [bci: 151] | -at java.util.HashMap.resize(HashMap.java:755) [bci: 353]
List,142,1,C142L1,27516,27076,-1.5990696322139846,5.773375209377253e-06,False,476601623870,962884167212,102.11888855675049,-at java.util.Properties$LineReader.readLine(Properties.java:538) [bci: 219] | -at java.util.Properties$LineReader.readLine(Properties.java:543) [bci: 259]
