benchmark,comp_id,loop_id,label,baseline_cycles,slowdown_cycles,percent_increase,runtime_share_pct,is_core_95pct,total_baseline_cycles,total_slowdown_cycles,overall_slowdown_pct_noBubo,source
Richards,214,0,C214L0,158844343366,0,-100.0,99.23829696488326,False,160063552302,271917663976,90.77536212694966,-at richards.Scheduler.schedule() [bci: 8] | -at richards.Scheduler.schedule() [bci: 67]
Richards,269,0,C269L0,93701749552,8142,-99.99999131072788,58.54034113600588,False,160063552302,271917663976,90.77536212694966,-at Benchmark.innerBenchmarkLoop(int) [bci: 2] | -at Benchmark.innerBenchmarkLoop(int) [bci: 26]
Richards,205,3,C205L3,12223364180,11235512412,-8.08166846256887,7.636569352739067,False,160063552302,271917663976,90.77536212694966,"-at richards.RBObject.append(Packet, Packet) [bci: 18]"
Richards,205,0,C205L0,1298847584,2136745616,64.51088197889739,0.8114574275781401,False,160063552302,271917663976,90.77536212694966,"-at richards.RBObject.append(Packet, Packet) [bci: 18]"
Richards,205,1,C205L1,1101125704,1076932278,-2.1971538682744254,0.6879303177793096,False,160063552302,271917663976,90.77536212694966,"-at richards.RBObject.append(Packet, Packet) [bci: 18]"
Richards,268,0,C268L0,60320918,600,-99.99900532017766,0.03768560495657967,False,160063552302,271917663976,90.77536212694966,-at Benchmark.innerBenchmarkLoop(int) [bci: 2] | -at Benchmark.innerBenchmarkLoop(int) [bci: 26]
Richards,213,0,C213L0,2704828,0,-100.0,0.0016898462898640811,False,160063552302,271917663976,90.77536212694966,-at richards.Scheduler.schedule() [bci: 8] | -at richards.Scheduler.schedule() [bci: 67]
Richards,143,1,C143L1,408380,416792,2.0598462216563007,0.00025513615943590257,False,160063552302,271917663976,90.77536212694966,-at java.util.Properties$LineReader.readLine(Properties.java:538) [bci: 219] | -at java.util.Properties$LineReader.readLine(Properties.java:543) [bci: 259]
Richards,237,0,C237L0,349378,0,-100.0,0.00021827455093637485,False,160063552302,271917663976,90.77536212694966,-at java.util.Arrays.fill(Arrays.java:3426) [bci: 5] | -at java.util.Arrays.fill(Arrays.java:3428) [bci: 20]
Richards,143,0,C143L0,348452,336810,-3.3410627575677565,0.0002176960307256945,False,160063552302,271917663976,90.77536212694966,-at java.util.Properties$LineReader.readLine(Properties.java:504) [bci: 53] | -at java.util.Properties$LineReader.readLine(Properties.java:615) [bci: 577]
Richards,52,0,C52L0,250672,240554,-4.036350290419353,0.00015660779508819376,False,160063552302,271917663976,90.77536212694966,-at java.util.ImmutableCollections$SetN$SetNIterator.next(ImmutableCollections.java:1213) [bci: 21] | -at java.util.ImmutableCollections$SetN$SetNIterator.next(ImmutableCollections.java:1223) [bci: 65]
Richards,140,1,C140L1,245820,246234,0.16841591408347573,0.00015357649912467203,False,160063552302,271917663976,90.77536212694966,-at java.util.Properties$LineReader.readLine(Properties.java:538) [bci: 219] | -at java.util.Properties$LineReader.readLine(Properties.java:543) [bci: 259]
Richards,237,2,C237L2,144950,0,-100.0,9.055778027874547e-05,False,160063552302,271917663976,90.77536212694966,Source Missing | -at java.util.Arrays.fill(Arrays.java:3428) [bci: 20]
Richards,237,1,C237L1,129128,0,-100.0,8.067295654938838e-05,False,160063552302,271917663976,90.77536212694966,Source Missing | -at java.util.Arrays.fill(Arrays.java:3428) [bci: 20]
