CompId,Method,LoopId,BaselineCycles,SlowdownCycles,PercentChangeCycles,BaselineSharePercent
194,"havlak.HavlakLoopFinder.doDFS(BasicBlock,",0,3267004198806,4232246570378,29.545183073984703,71.31875627787286
194,"havlak.HavlakLoopFinder.doDFS(BasicBlock,",1,683761556046,884706174474,29.388112954171625,14.926526199643714
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,1,330854102862,382862155788,15.719331414092416,7.222550596712726
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,2,143141264216,163084319110,13.932428921338822,3.1247761908780194
212,havlak.HavlakLoopFinder.identifyEdges(int),0,68690816868,73589135148,7.1309652488379545,1.499521680604916
279,havlak.LoopTesterApp.addDummyLoops(int)-Re-Comp,0,23185071484,29100648182,25.51459331096881,0.5061304981048925
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,0,22825914124,47503320358,108.11136018448993,0.49829008693168203
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,12,8541942996,11779723820,37.90450048093484,0.18647075840730576
190,havlak.UnionFindNode.findSet(),1,7146494330,9071327582,26.933950593367364,0.1560080906993459
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,13,6727916454,12629788778,87.72214049256087,0.14687052866846026
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,11,6630858702,12891404814,94.41531471801223,0.14475175631968393
235,havlak.HavlakLoopFinder$6.apply(Object)-Re-Comp,1,2819678904,2740299144,-2.8152056564806642,0.061553637613851464
190,havlak.UnionFindNode.findSet(),2,2524781956,4003040450,58.54994687707599,0.05511603230890969
281,som.Dictionary.resize(),0,2224103192,2212518236,-0.5208821264080987,0.04855220986402724
295,"havlak.LoopTesterApp.main(int,",0,2060689052,2452881998,19.03212644427637,0.04498487645586156
190,havlak.UnionFindNode.findSet(),0,1103389028,1086115656,-1.565483393586908,0.02408700092775238
284,"havlak.LoopTesterApp.constructCFG(int,-Re-Comp",3,400125320,406167712,1.5101248778757614,0.008734742424914902
284,"havlak.LoopTesterApp.constructCFG(int,-Re-Comp",4,396233340,402320796,1.5363310921791689,0.008649780436448588
284,"havlak.LoopTesterApp.constructCFG(int,-Re-Comp",5,303091822,313419150,3.4073265097861993,0.006616499541364081
271,"java.util.Arrays.copyOf(Object[],",0,72448346,67984356,-6.161617547486867,0.0015815486043750339
234,som.Dictionary.transferEntries(Dictionary$Entry[])-Re-Comp,0,71772844,70905708,-1.2081672561282368,0.0015668023844219582
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,10,61610246,60968644,-1.0413884729497753,0.0013449527001831419
279,havlak.LoopTesterApp.addDummyLoops(int)-Re-Comp,3,47435278,46388576,-2.2065897874573435,0.0010355129117653253
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,3,35226378,85833116,143.66148571959343,0.0007689924206563308
279,havlak.LoopTesterApp.addDummyLoops(int)-Re-Comp,4,30277226,30331522,0.1793295066067149,0.0006609523497561626
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,4,25603512,86171608,236.56167169566427,0.0005589250950007807
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,5,21451062,22826334,6.411207053524902,0.0004682770420799161
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,7,20626524,20566450,-0.29124635832969237,0.000450277363755249
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,6,20258098,19797846,-2.2719408307729583,0.00044223461801588495
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,9,20022540,19221026,-4.0030585530107565,0.0004370923829378147
207,havlak.HavlakLoopFinder.findLoops()-Re-Comp,8,19431258,20578426,5.903724812876243,0.00042418468699273297
278,havlak.LoopTesterApp.addDummyLoops(int),0,16531696,20617916,24.717488151245945,0.0003608872000577119
276,"som.Dictionary.splitBucket(Dictionary$Entry[],",0,13186712,13634086,3.3926121993109426,0.0002878661434161039
281,som.Dictionary.resize(),1,11454904,11394020,-0.5315103470094555,0.000250060745823652
267,havlak.LoopTesterApp.findLoops(LoopStructureGraph),0,3312188,3716352,12.20232667952423,7.23051194133229e-05
171,som.Vector.<init>(),0,3278752,3263790,-0.4563321654092777,7.157521097433821e-05
291,havlak.LoopStructureGraph.<init>(),0,2668596,3057574,14.57612917054511,5.825549529372e-05
235,havlak.HavlakLoopFinder$6.apply(Object)-Re-Comp,2,2075862,2822688,35.97666896932455,4.531610216436365e-05
267,havlak.LoopTesterApp.findLoops(LoopStructureGraph),1,1916080,1895650,-1.0662394054527995,4.182805843312027e-05
265,"havlak.LoopTesterApp.buildStraight(int,",0,1309676,1332528,1.7448590338373766,2.8590248975228186e-05
235,havlak.HavlakLoopFinder$6.apply(Object)-Re-Comp,0,796442,803682,0.9090429686028613,1.738634217495677e-05
175,"java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object,",0,628790,639020,1.6269342705831837,1.372649621214234e-05
165,som.Vector.<init>(int),0,456082,461290,1.1418999215053431,9.956277684801449e-06
283,"havlak.LoopTesterApp.constructCFG(int,",0,407312,402798,-1.1082413481557136,8.891627769462175e-06
283,"havlak.LoopTesterApp.constructCFG(int,",1,383048,378672,-1.1424155719387648,8.361944243815421e-06
283,"havlak.LoopTesterApp.constructCFG(int,",2,277352,272330,-1.8106954339611756,6.054598796784462e-06
52,java.util.ImmutableCollections$SetN$SetNIterator.next(),0,240038,238938,-0.458260775377232,5.240033552967164e-06
215,havlak.ControlFlowGraph.createNode(int),0,231078,222114,-3.8792096175317425,5.04443660317344e-06
279,havlak.LoopTesterApp.addDummyLoops(int)-Re-Comp,1,177814,164248,-7.629320525942839,3.881682592703252e-06
