CompId,Method,LoopId,BaselineCycles,SlowdownCycles,PercentChangeCycles,BaselineSharePercent
170,json.JsonPureStringParser.readArray(),0,319186471962,549260402056,72.08135378663258,48.78777247712911
183,json.JsonPureStringParser.readObject(),0,219715028618,379080866990,72.53297117379984,33.58352489104573
222,Benchmark.innerBenchmarkLoop(int)-Re-Comp,0,75530720386,130221124806,72.40815940918411,11.54489906346824
161,json.JsonPureStringParser.readStringInternal(),0,23437091370,46771386720,99.5613960009919,3.5823682446710214
173,json.JsonPureStringParser.readNumber(),0,5645635624,10158381404,79.93335171713873,0.8629375318427607
161,json.JsonPureStringParser.readStringInternal(),1,3364080944,5953581920,76.97499017134231,0.5142010395417302
161,json.JsonPureStringParser.readStringInternal(),3,2514718150,2543277644,1.1356936362828574,0.384375616523351
170,json.JsonPureStringParser.readArray(),2,1599896018,2517679062,57.36516834058399,0.24454470903309947
172,json.JsonPureStringParser.endCapture(),1,969464290,926855026,-4.3951349667557125,0.14818298192428553
172,json.JsonPureStringParser.endCapture(),0,961032902,974403492,1.3912728661187919,0.14689424109237656
183,json.JsonPureStringParser.readObject(),4,451964502,642644130,42.18907174262991,0.0690829443860018
183,json.JsonPureStringParser.readObject(),1,361580246,651901412,80.29231939844412,0.055267676808597774
183,json.JsonPureStringParser.readObject(),5,295224522,595981646,101.8740319952148,0.04512517939895634
183,json.JsonPureStringParser.readObject(),2,51963590,83721382,61.115469504705125,0.007942654306215841
221,Benchmark.innerBenchmarkLoop(int),0,46219360,79854200,72.77218897016316,0.007064646586860919
170,json.JsonPureStringParser.readArray(),1,39445976,40900170,3.686545872258301,0.006029332290923063
183,json.JsonPureStringParser.readObject(),3,36414204,51773194,42.178568560773705,0.005565924798652713
207,"java.util.Arrays.copyOf(Object[],",0,17007842,18071142,6.251821953661141,0.0025996550565643875
58,java.lang.String.equals(Object),0,6321874,6263316,-0.9262759744974354,0.0009663008223537667
170,json.JsonPureStringParser.readArray(),3,3399628,3895670,14.591067022627183,0.0005196344204419276
52,java.util.ImmutableCollections$SetN$SetNIterator.next(),0,236734,244590,3.3184924852365945,3.618488107784125e-05
181,som.Vector.<init>(),0,193670,198046,2.2595136056178036,2.9602532455606358e-05
160,"json.JsonPureStringParser.subStringFromTo(int,",0,154420,146956,-4.8335707809869195,2.3603155170107575e-05
160,"json.JsonPureStringParser.subStringFromTo(int,",1,136836,133474,-2.4569557718728987,2.091543414620412e-05
84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",1,45534,43786,-3.8388896209425925,6.9598890526853925e-06
84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",2,30104,30020,-0.27903268668615466,4.601407740195042e-06
84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",0,23762,23190,-2.4072047807423615,3.6320306511597996e-06
223,"java.lang.StringLatin1.inflate(byte[],",0,23594,36716,55.615834534203614,3.6063517878740978e-06
88,"java.lang.StringCoding.countPositives(byte[],-Re-Comp",0,11196,11296,0.8931761343336906,1.7113128175399844e-06
223,"java.lang.StringLatin1.inflate(byte[],",1,11012,12464,13.185615691972394,1.683188348227073e-06
223,"java.lang.StringLatin1.inflate(byte[],",2,9796,9330,-4.757043691302573,1.4973222901591361e-06
57,"java.util.HashMap.putVal(int,",0,6946,5734,-17.448891448315575,1.0616987165624093e-06
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",0,576,368,-36.11111111111111,8.804181697954904e-08
87,"java.lang.StringCoding.countPositives(byte[],",0,438,362,-17.35159817351598,6.694846499486542e-08
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",1,156,152,-2.564102564102564,2.3844658765294532e-08
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",2,110,104,-5.454545454545454,1.681354143706666e-08
