CompId,Method,LoopId,BaselineCycles,SlowdownCycles,PercentChangeCycles,BaselineSharePercent
161,Benchmark.innerBenchmarkLoop(int)-Re-Comp,0,472483041480,882075119228,86.68926538929288,99.80770813903042
160,Benchmark.innerBenchmarkLoop(int),0,909890818,1684235750,85.10306035421495,0.19220608832194833
52,java.util.ImmutableCollections$SetN$SetNIterator.next(),0,240622,244864,1.762931070309448,5.082919012839609e-05
84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",1,50772,51244,0.9296462617190578,1.0725119237637982e-05
84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",2,34094,34110,0.04692907843022232,7.202044735051393e-06
84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",0,30348,27416,-9.66126268617372,6.410736599382286e-06
88,"java.lang.StringCoding.countPositives(byte[],-Re-Comp",0,9834,9124,-7.219849501728697,2.0773422867511995e-06
171,"java.lang.StringLatin1.inflate(byte[],",0,9026,6734,-25.393308220695772,1.9066596990254554e-06
171,"java.lang.StringLatin1.inflate(byte[],",1,7836,9476,20.929045431342523,1.6552831156174905e-06
171,"java.lang.StringLatin1.inflate(byte[],",2,7332,8204,11.893071467539553,1.5488177391152936e-06
57,"java.util.HashMap.putVal(int,",0,5800,7624,31.448275862068964,1.2251967930808377e-06
137,"java.lang.StringLatin1.equals(byte[],",0,5384,4740,-11.961367013372957,1.1373206093012466e-06
58,java.lang.String.equals(Object),0,3594,3146,-12.465219810795771,7.591995300573329e-07
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",0,580,376,-35.172413793103445,1.2251967930808376e-07
87,"java.lang.StringCoding.countPositives(byte[],",0,498,414,-16.867469879518072,1.0519793154383745e-07
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",2,176,118,-32.95454545454545,3.717838544521163e-08
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",1,146,148,1.36986301369863,3.0841160653414195e-08
