CompId,Method,LoopId,BaselineCycles,SlowdownCycles,PercentChangeCycles,BaselineSharePercent
109,NBody.innerBenchmarkLoop(int)-Re-Comp,0,17648482188,34617541890,96.1502497565373,91.11903968812304
108,NBody.innerBenchmarkLoop(int),4,1139973542,983617784,-13.71573569380262,5.885678627227011
108,NBody.innerBenchmarkLoop(int),5,500412162,346992272,-30.65870529341771,2.583625898475335
108,NBody.innerBenchmarkLoop(int),6,57062312,36900650,-35.33271136998445,0.2946124780837759
107,nbody.NBodySystem.advance(double),0,16124312,16032768,-0.5677389522107983,0.08324975538523509
107,nbody.NBodySystem.advance(double),1,5681788,5624878,-1.0016213206124551,0.029335047669058006
107,nbody.NBodySystem.advance(double),2,573944,580378,1.121015290690381,0.0029632704703818286
52,java.util.ImmutableCollections$SetN$SetNIterator.next(),0,246398,245526,-0.35389897645273094,0.0012721518429692476
93,"java.lang.StringLatin1.equals(byte[],",0,21038,5670,-73.0487688943816,0.00010861910596833996
108,NBody.innerBenchmarkLoop(int),1,9400,2818,-70.02127659574468,4.8532160666527034e-05
57,"java.util.HashMap.putVal(int,",0,5904,5330,-9.722222222222223,3.0482327295231445e-05
58,java.lang.String.equals(Object),0,3706,3466,-6.475984889368592,1.913406249256906e-05
108,NBody.innerBenchmarkLoop(int),2,3046,1236,-59.42219304005253,1.5726485254280993e-05
108,NBody.innerBenchmarkLoop(int),3,114,106,-7.017543859649122,5.885815229770299e-07
