CompId,Method,LoopId,BaselineCycles,SlowdownCycles,PercentChangeCycles,BaselineSharePercent
175,richards.Scheduler.schedule()-Re-Comp,0,160536011004,276373998344,72.15701113759063,59.35305412399047
242,Benchmark.innerBenchmarkLoop(int)-Re-Comp,0,94251398564,163404615748,73.37102497958429,34.846439283280205
178,"richards.Scheduler$HandlerProcessFunction.apply(Packet,",3,13111483890,11214930536,-14.464826177656997,4.847551699472643
178,"richards.Scheduler$HandlerProcessFunction.apply(Packet,",0,1312536664,1087248384,-17.16434185643442,0.4852684402141574
178,"richards.Scheduler$HandlerProcessFunction.apply(Packet,",1,1203590282,1082928068,-10.025190116980356,0.44498900093434485
241,Benchmark.innerBenchmarkLoop(int),0,60159876,104066488,72.98321559040447,0.022242189487513716
208,"java.util.Arrays.fill(Object[],",0,474660,496820,4.6686048961361815,0.00017549034945057502
52,java.util.ImmutableCollections$SetN$SetNIterator.next(),0,245260,236640,-3.5146375275218134,9.067703852494002e-05
208,"java.util.Arrays.fill(Object[],",2,159040,155842,-2.010814889336016,5.8799951916360025e-05
208,"java.util.Arrays.fill(Object[],",1,130322,134268,3.0278847777044553,4.8182390176332196e-05
84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",1,77428,58642,-24.26254068295707,2.8626525886443184e-05
84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",2,48464,38416,-20.732915153516014,1.791801351656484e-05
84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",0,31662,32678,3.208893942265176,1.1706011554173736e-05
88,"java.lang.StringCoding.countPositives(byte[],-Re-Comp",0,14650,11828,-19.262798634812288,5.416368810202932e-06
137,"java.lang.StringLatin1.equals(byte[],",0,11596,12000,3.483959986202138,4.28725001522957e-06
243,"java.lang.StringLatin1.inflate(byte[],",1,8518,12904,51.49096031932379,3.1492579880756707e-06
243,"java.lang.StringLatin1.inflate(byte[],",0,7084,20592,190.68322981366458,2.6190823652885718e-06
243,"java.lang.StringLatin1.inflate(byte[],",2,6480,8562,32.12962962962963,2.3957726887450515e-06
57,"java.util.HashMap.putVal(int,",0,6016,6356,5.651595744680852,2.2242235332546646e-06
245,"java.lang.StringCoding.implEncodeAsciiArray(char[],-Re-Comp",0,3924,9764,148.8277268093782,1.4507734615178367e-06
58,java.lang.String.equals(Object),0,3340,3432,2.754491017964072,1.234858145124764e-06
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",0,1176,336,-71.42857142857143,4.3478837684632417e-07
244,"java.lang.StringCoding.implEncodeAsciiArray(char[],",0,620,408,-34.193548387096776,2.2922516466387838e-07
87,"java.lang.StringCoding.countPositives(byte[],",0,554,442,-20.216606498194945,2.04823776167401e-07
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",1,390,316,-18.974358974358974,1.4419002293372994e-07
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",2,194,104,-46.391752577319586,7.172529345934259e-08
