comp_id,loop_id,samples,percentage,total_samples
145,0,1768777,19.727296,8966140
148,0,635774,7.090833,8966140
152,0,420883,4.694138,8966140
163,0,535300,5.970239,8966140
170,0,249673,2.784621,8966140
170,2,23820,0.265666,8966140
170,3,16548,0.184561,8966140
171,0,34638,0.386320,8966140
174,0,248818,2.775085,8966140
174,2,24454,0.272737,8966140
174,3,54897,0.612270,8966140
180,0,190339,2.122864,8966140
180,1,205519,2.292168,8966140
180,4,55516,0.619174,8966140
185,0,23206,0.258818,8966140
