CompId,LoopId,BaselineSamples,SlowdownSamples,PercentChangeSamples,BaselineSharePercent
145,0,1768777,3476155,96.52873143420567,39.40982968083594
148,0,635774,1233426,94.00384413329265,14.16557601976043
163,0,535300,936673,74.98094526433775,11.926931336257471
152,0,420883,746878,77.45501719005044,9.377624960952835
170,0,249673,421667,68.88770511829473,5.5629230852184035
174,0,248818,501945,101.73178789315887,5.543872970717189
180,1,205519,351856,71.20363567358736,4.579135066871473
180,0,190339,373969,96.47523628893711,4.240911981341137
180,4,55516,73989,33.27509186540817,1.2369428732741823
174,3,54897,52291,-4.747071788986648,1.2231510359920164
171,0,34638,125279,261.6808129799642,0.7717635860737647
174,2,24454,38763,58.51394454894905,0.5448555555704094
170,2,23820,35174,47.66582703610411,0.5307295057531346
185,0,23206,22927,-1.2022752736361286,0.5170490726493384
170,3,16548,28025,69.35581339134639,0.3687032687322784
