benchmark,suite,mode,comp_id,loop_id,method,slow_run_share_pct,vtune_pct,async_pct,jfr_pct
CD,AWFY,WithoutProbe,565,0,...,23.393981,,,114.97622820919176
CD,AWFY,WithoutProbe,124,0,cd.RedBlackTree.put,13.39329,113.89721133901823,126.50273224043715,
CD,AWFY,WithoutProbe,568,0,...,7.29499,,,145.93023255813952
CD,AWFY,WithoutProbe,585,0,...,5.992929,,,114.50617283950618
CD,AWFY,WithoutProbe,573,0,...,5.234112,,,125.65055762081785
CD,AWFY,WithoutProbe,127,0,cd.RedBlackTree.get,4.082072,124.44962444962444,145.30744336569578,
CD,AWFY,WithoutProbe,143,0,cd.RedBlackTree.forEach,4.082072,,123.59882005899705,
CD,AWFY,WithoutProbe,596,0,...,3.380185,,,85.78199052132702
CD,AWFY,WithoutProbe,602,0,...,3.319824,,,237.71929824561403
CD,AWFY,WithoutProbe,592,0,...,2.681728,,,95.59748427672956
CD,AWFY,WithoutProbe,160,0,cd.CollisionDetector.handleNewFrame,2.175669,145.86636466591162,267.2727272727273,
