benchmark,suite,mode,comp_id,loop_id,method,slow_run_share_pct,vtune_pct,async_pct,jfr_pct
Bounce,AWFY,WithoutProbe,562,1,...,90.330189,,,109.68624973678669
Bounce,AWFY,WithoutProbe,126,1,Benchmark.innerBenchmarkLoop,72.797516,97.4325226514068,109.84596169858452,
Bounce,AWFY,WithoutProbe,562,2,...,5.732946,,,81.08882521489971
Bounce,AWFY,WithoutProbe,126,2,Benchmark.innerBenchmarkLoop,4.664934,99.16666666666667,85.10028653295129,
Json,AWFY,WithoutProbe,574,0,...,22.119732,,,117.61565836298932
Json,AWFY,WithoutProbe,598,0,...,5.480195,,,146.34146341463415
Json,AWFY,WithoutProbe,584,0,...,4.847169,,,145.87155963302752
Json,AWFY,WithoutProbe,143,0,json.JsonPureStringParser.readString,4.766252,110.48766710600644,104.76190476190477,
Json,AWFY,WithoutProbe,167,0,json.JsonPureStringParser.readValue,2.17774,87.68011527377521,154.96183206106872,
LoopBenchmarks,AWFY,WithoutProbe,167,0,LoopBenchmarks.main,18.631062,95.33925174381734,99.67105263157895,
LoopBenchmarks,AWFY,WithoutProbe,604,0,...,18.605372,,,97.26177437020812
LoopBenchmarks,AWFY,WithoutProbe,173,2,LoopBenchmarks.main,11.68406,99.659342531085,109.54128440366972,
LoopBenchmarks,AWFY,WithoutProbe,178,1,LoopBenchmarks.main,10.425619,93.94168875425974,93.35863377609108,
LoopBenchmarks,AWFY,WithoutProbe,615,0,...,9.214876,,,44500.0
LoopBenchmarks,AWFY,WithoutProbe,176,0,[break_interpreted],9.177409,99.17355371900827,114.59330143540669,
LoopBenchmarks,AWFY,WithoutProbe,150,0,LoopBenchmarks.main,7.090239,117.6711896497318,103.2258064516129,
LoopBenchmarks,AWFY,WithoutProbe,583,0,...,6.983471,,,95.94202898550725
LoopBenchmarks,AWFY,WithoutProbe,153,2,LoopBenchmarks.main,6.026192,95.22869364922674,160.61946902654867,
LoopBenchmarks,AWFY,WithoutProbe,188,1,LoopBenchmarks.main,4.777982,102.46539792387546,101.29310344827587,
LoopBenchmarks,AWFY,WithoutProbe,191,0,LoopBenchmarks.main,4.777982,88.78428162095784,100.42918454935624,
LoopBenchmarks,AWFY,WithoutProbe,600,1,...,4.772727,,,111.92660550458714
LoopBenchmarks,AWFY,WithoutProbe,163,1,LoopBenchmarks.main,4.624514,102.80135823429544,99.11894273127754,
LoopBenchmarks,AWFY,WithoutProbe,126,5,Harness.main,4.409658,,0.23255813953488372,
LoopBenchmarks,AWFY,WithoutProbe,560,5,...,4.400826,,,0.2352941176470588
LoopBenchmarks,AWFY,WithoutProbe,156,2,LoopBenchmarks.main,3.652548,113.80638063806381,138.0,
LoopBenchmarks,AWFY,WithoutProbe,592,2,...,3.615702,,,128.75816993464053
LoopBenchmarks,AWFY,WithoutProbe,182,2,LoopBenchmarks.main,2.997749,92.73560209424082,99.31972789115646,
LoopBenchmarks,AWFY,WithoutProbe,170,2,Harness.main,2.926131,,0.7042253521126761,
LoopBenchmarks,AWFY,WithoutProbe,592,3,...,2.128099,,,80.7017543859649
LoopBenchmarks,AWFY,WithoutProbe,156,3,LoopBenchmarks.main,2.08717,75.40425531914893,98.05825242718447,
Mandelbrot,AWFY,WithoutProbe,559,2,...,95.081714,,,115.47868623340321
Mandelbrot,AWFY,WithoutProbe,121,2,Mandelbrot.innerBenchmarkLoop,94.826927,104.2434837889383,116.05153203342617,
Mandelbrot,AWFY,WithoutProbe,121,1,Mandelbrot.innerBenchmarkLoop,5.020249,256.4757709251102,66.75126903553299,
Mandelbrot,AWFY,WithoutProbe,559,1,...,4.764107,,,70.71823204419888
NBody,AWFY,WithoutProbe,136,0,Run.measure,99.436333,100.46807644631922,96.54794520547945,
NBody,AWFY,WithoutProbe,574,0,...,99.394899,,,101.64305949008498
Sieve,AWFY,WithoutProbe,576,3,...,50.373394,,,179.81194690265488
Sieve,AWFY,WithoutProbe,141,3,Run.measure,42.370926,111.4065085493657,178.29499323410013,
Sieve,AWFY,WithoutProbe,576,2,...,37.453948,,,130.4134762633997
Sieve,AWFY,WithoutProbe,141,2,Run.measure,32.209815,101.48815653964994,141.3399197283112,
Sieve,AWFY,WithoutProbe,576,4,...,7.696903,,,93.734335839599
Sieve,AWFY,WithoutProbe,141,4,Run.measure,6.374387,103.33250124812781,108.49056603773586,
