benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,SpaceMangler::mangle_region,,,11477,15142,75.795800,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.RedBlackTree.put,124,0,1098,15142,7.251354,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,MemAllocator::mem_allocate_inside_tlab_slow,,,427,15142,2.819971,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.RedBlackTree.forEach,143,0,339,15142,2.238806,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.RedBlackTree.get,127,0,309,15142,2.040682,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.RedBlackTree.treeInsert,,,288,15142,1.901994,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.handleNewFrame,154,0,197,15142,1.301017,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.handleNewFrame,131,0,156,15142,1.030247,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,CD.benchmark,150,0,124,15142,0.818914,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.handleNewFrame,160,0,110,15142,0.726456,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.handleNewFrame,160,1,100,15142,0.660415,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.RedBlackTree.findNode,,,85,15142,0.561353,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.RedBlackTree.put,,,74,15142,0.488707,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.putIntoMap,131,0,70,15142,0.462290,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,CD.innerBenchmarkLoop,190,2,60,15142,0.396249,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector$RemoveAbsentAircraft.apply,,,28,15142,0.184916,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,som.Vector.<init>,,,23,15142,0.151895,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,MarkBitMap::get_next_marked_addr,,,19,15142,0.125479,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.handleNewFrame,154,3,19,15142,0.125479,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.handleNewFrame,160,4,19,15142,0.125479,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.recurse,,,19,15142,0.125479,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.isInVoxel,,,17,15142,0.112271,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.RedBlackTree.get,,,16,15142,0.105666,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,som.Vector.append,,,16,15142,0.105666,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,CD.benchmark,165,0,14,15142,0.092458,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.CollisionDetector.handleNewFrame,154,2,13,15142,0.085854,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,itable stub,,,13,15142,0.085854,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,async,cd.RedBlackTree.leftRotate,,,12,15142,0.079250,no_marker
