benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,565,0,1262,5666,22.273209,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"cd.RedBlackTree.treeInsert(Comparable, Object)",,,635,5666,11.207201,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"cd.CollisionDetector.isInVoxel(Vector2D, Motion)",,,591,5666,10.430639,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"cd.RedBlackTree.put(Comparable, Object)",,,378,5666,6.671373,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,568,0,344,5666,6.071303,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,585,0,324,5666,5.718320,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,573,0,269,5666,4.747617,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,596,0,211,5666,3.723968,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.RedBlackTree.findNode(Comparable),,,194,5666,3.423932,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"cd.CollisionDetector.recurse(RedBlackTree, RedBlackTree, Vector2D, Motion)",,,170,5666,3.000353,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,592,0,159,5666,2.806212,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,602,0,114,5666,2.012001,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,602,1,97,5666,1.711966,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,som.Vector.append(Object),,,73,5666,1.288387,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.RedBlackTree.leftRotate(RedBlackTree$Node),,,69,5666,1.217790,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.Vector2D.minus(Vector2D),,,63,5666,1.111896,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.RedBlackTree.get(Comparable),,,59,5666,1.041299,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"cd.CollisionDetector.putIntoMap(RedBlackTree, Vector2D, Motion)",,,50,5666,0.882457,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"cd.Vector2D.compareNumbers(double, double)",,,50,5666,0.882457,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.Vector2D.plus(Vector2D),,,42,5666,0.741264,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,som.Vector.<init>(int),,,42,5666,0.741264,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,602,4,33,5666,0.582421,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,596,3,31,5666,0.547123,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,631,2,31,5666,0.547123,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.CollisionDetector$RemoveAbsentAircraft.apply(RedBlackTree$Entry),,,29,5666,0.511825,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.CollisionDetector$RemoveAbsentAircraft.apply(Object),,,28,5666,0.494176,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,593,0,27,5666,0.476527,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,596,2,24,5666,0.423579,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.Motion.findIntersection(Motion),,,24,5666,0.423579,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.Vector2D.compareTo(Object),,,24,5666,0.423579,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.util.Arrays.copyOf(Object[], int) line: 3478",,,23,5666,0.405930,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.Vector2D.compareTo(Vector2D),,,22,5666,0.388281,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.CallSign.compareTo(CallSign),,,19,5666,0.335334,no_marker
