benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.equals(Object),,,1396,5529,25.248689,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,574,0,1223,5529,22.119732,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.StringLatin1.toBytes(char) line: 753,,,349,5529,6.312172,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.read(),,,313,5529,5.661060,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,598,0,303,5529,5.480195,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,584,0,268,5529,4.847169,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.valueOf(char) line: 4627,,,201,5529,3.635377,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readValue(),,,128,5529,2.315066,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,584,2,82,5529,1.483089,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.endCapture(),,,80,5529,1.446916,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,573,0,77,5529,1.392657,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.isWhiteSpace(),,,72,5529,1.302225,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.isDigit(),,,66,5529,1.193706,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readDigit(),,,62,5529,1.121360,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,587,0,61,5529,1.103274,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"jdk.internal.util.Preconditions.checkIndex(int, int, BiFunction)",,,53,5529,0.958582,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readStringInternal(),,,53,5529,0.958582,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.AbstractStringBuilder.<init>(int) line: 101,,,52,5529,0.940496,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readArray(),,,49,5529,0.886236,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.StringLatin1.hashCode(byte[]) line: 195,,,45,5529,0.813890,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readChar(String),,,40,5529,0.723458,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.StringBuilder.toString() line: 478,,,39,5529,0.705372,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.lang.StringLatin1.charAt(byte[], int) line: 46",,,32,5529,0.578767,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readString(),,,32,5529,0.578767,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.coder() line: 4885,,,31,5529,0.560680,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"json.JsonPureStringParser.subStringFromTo(int, int)",,,31,5529,0.560680,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.Object.clone(),,,30,5529,0.542594,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.hashCode() line: 2432,,,27,5529,0.488334,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.isLatin1() line: 4893,,,24,5529,0.434075,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"jdk.internal.util.ArraysSupport.hashCodeOfUnsigned(byte[], int, int, int) line: 273",,,23,5529,0.415988,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.hashCode() line: 2440,,,22,5529,0.397902,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,som.Vector.<init>(int),,,22,5529,0.397902,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.hashCode() line: 2437,,,20,5529,0.361729,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.startCapture(),,,20,5529,0.361729,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readObject(),,,19,5529,0.343643,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonArray.<init>(),,,16,5529,0.289383,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,598,5,15,5529,0.271297,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.AbstractStringBuilder.append(char) line: 901,,,15,5529,0.271297,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.hashCode() line: 2431,,,14,5529,0.253210,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.skipWhiteSpace(),,,14,5529,0.253210,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,598,4,13,5529,0.235124,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readNumber(),,,13,5529,0.235124,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,598,1,12,5529,0.217037,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"jdk.internal.util.ArraysSupport.hashCodeOfUnsigned(byte[], int, int, int) line: 275",,,9,5529,0.162778,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.length() line: 1583,,,8,5529,0.144692,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonObject.<init>(),,,8,5529,0.144692,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readName(),,,8,5529,0.144692,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,573,1,6,5529,0.108519,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.util.Arrays.copyOf(Object[], int) line: 3478",,,4,5529,0.072346,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,598,3,3,5529,0.054259,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonObject$HashIndexTable.<init>(),,,3,5529,0.054259,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readNull(),,,3,5529,0.054259,no_marker
