benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,167,0,1821,9774,18.631062,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,173,2,1142,9774,11.684060,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,178,1,1019,9774,10.425619,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,[break_interpreted],176,0,897,9774,9.177409,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,150,0,693,9774,7.090239,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,153,2,589,9774,6.026192,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,188,1,467,9774,4.777982,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,191,0,467,9774,4.777982,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,163,1,452,9774,4.624514,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,Harness.main,126,5,431,9774,4.409658,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,156,2,357,9774,3.652548,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,182,2,293,9774,2.997749,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,Harness.main,170,2,286,9774,2.926131,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,156,3,204,9774,2.087170,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,Harness.main,146,9,178,9774,1.821158,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,173,1,72,9774,0.736648,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,156,4,60,9774,0.613874,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,178,0,58,9774,0.593411,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,SpaceMangler::mangle_region,,,49,9774,0.501330,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.monteCarloPiLoop,,,45,9774,0.460405,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,156,1,31,9774,0.317168,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.histogramLoop,,,26,9774,0.266012,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.crc32Loop,,,24,9774,0.245549,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,Harness.main,146,2,23,9774,0.235318,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.parseJsonLoop,,,20,9774,0.204625,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.editDistanceLoop,,,11,9774,0.112543,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,MemAllocator::mem_allocate_inside_tlab_slow,,,8,9774,0.081850,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,125,1,7,9774,0.071619,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,153,1,5,9774,0.051156,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,169,1,5,9774,0.051156,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,Harness.main,146,1,4,9774,0.040925,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,173,4,4,9774,0.040925,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,175,0,4,9774,0.040925,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,173,5,3,9774,0.030694,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,LoopBenchmarks.main,182,0,3,9774,0.030694,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,Harness.main,145,5,2,9774,0.020462,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,async,Harness.main,146,8,2,9774,0.020462,
