benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,604,0,1801,9680,18.605372,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,610,2,1165,9680,12.035124,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,617,1,1020,9680,10.537190,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,615,0,892,9680,9.214876,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,583,0,676,9680,6.983471,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,590,2,591,9680,6.105372,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,630,0,470,9680,4.855372,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,600,1,462,9680,4.772727,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,627,1,462,9680,4.772727,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,560,5,426,9680,4.400826,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,592,2,350,9680,3.615702,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,621,2,286,9680,2.954545,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,608,2,285,9680,2.944215,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,592,3,206,9680,2.128099,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,579,9,168,9680,1.735537,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,610,1,68,9680,0.702479,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,592,4,57,9680,0.588843,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,617,0,49,9680,0.506198,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,592,1,38,9680,0.392562,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"LoopBenchmarks.monteCarloPiLoop(long, int)",,,36,9680,0.371901,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,579,2,35,9680,0.361570,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,LoopBenchmarks.parseJsonLoop(char[]),,,29,9680,0.299587,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,LoopBenchmarks.crc32Loop(byte[]),,,24,9680,0.247934,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"LoopBenchmarks.histogramLoop(int[], int[], int)",,,12,9680,0.123967,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"LoopBenchmarks.editDistanceLoop(char[], char[])",,,9,9680,0.092975,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,559,1,6,9680,0.061983,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,621,0,6,9680,0.061983,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,607,1,5,9680,0.051653,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,610,4,5,9680,0.051653,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,614,0,5,9680,0.051653,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"LoopBenchmarks.raySphereLoop(double[], double[], double[], double[], int)",,,4,9680,0.041322,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,578,5,3,9680,0.030992,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,579,8,3,9680,0.030992,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"LoopBenchmarks.mandelbrotLoop(double, double, int)",,,3,9680,0.030992,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,610,3,2,9680,0.020661,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,610,6,2,9680,0.020661,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,616,1,2,9680,0.020661,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,621,3,2,9680,0.020661,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,LoopBenchmarks.main(String[]),,,2,9680,0.020661,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"LoopBenchmarks.sieveLoop(boolean[], int)",,,2,9680,0.020661,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,560,6,1,9680,0.010331,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,581,0,1,9680,0.010331,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,589,2,1,9680,0.010331,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,590,1,1,9680,0.010331,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,595,2,1,9680,0.010331,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,603,0,1,9680,0.010331,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,608,0,1,9680,0.010331,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,618,1,1,9680,0.010331,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,618,4,1,9680,0.010331,
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"jdk.internal.classfile.impl.DirectClassBuilder.withField(Utf8Entry, Utf8Entry, int) line: 92",,,1,9680,0.010331,no_marker
LoopBenchmarks,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"jdk.jfr.internal.JVM.emitEvent(long, long, long)",,,1,9680,0.010331,no_marker
