benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,3,3695,12676,29.149574,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,SpaceMangler::mangle_region,,,3510,12676,27.690123,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,2,3239,12676,25.552225,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Sieve.sieve,,,743,12676,5.861470,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,4,742,12676,5.853582,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,0,344,12676,2.713790,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,MemAllocator::mem_allocate_inside_tlab_slow,,,317,12676,2.500789,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Benchmark.innerBenchmarkLoop,126,2,14,12676,0.110445,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Benchmark.innerBenchmarkLoop,126,1,10,12676,0.078889,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,clear_page_erms_[k],,,9,12676,0.071000,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,140,5,8,12676,0.063111,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,MarkBitMap::get_next_marked_addr,,,6,12676,0.047334,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,5,6,12676,0.047334,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,140,6,5,12676,0.039445,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Sieve.benchmark,121,1,5,12676,0.039445,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,G1ParScanThreadState::do_copy_to_survivor_space,,,4,12676,0.031556,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,oop::on_construction,,,4,12676,0.031556,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,G1FreeRegionList::verify_list,,,3,12676,0.023667,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Sieve.benchmark,121,0,3,12676,0.023667,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Sieve.benchmark,123,1,3,12676,0.023667,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,G1SurvRateGroup::record_surviving_words,,,2,12676,0.015778,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,140,9,2,12676,0.015778,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,__memset_avx2_unaligned_erms,,,2,12676,0.015778,no_marker
