benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,576,3,3616,8777,41.198587,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,576,2,3265,8777,37.199499,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,576,4,798,8777,9.091945,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"Sieve.sieve(boolean[], int)",,,717,8777,8.169078,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,576,0,317,8777,3.611712,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,563,2,16,8777,0.182295,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,575,6,10,8777,0.113934,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,563,1,9,8777,0.102541,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,559,1,7,8777,0.079754,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,575,5,5,8777,0.056967,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,576,5,5,8777,0.056967,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,559,0,2,8777,0.022787,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,Benchmark.innerBenchmarkLoop(int),,,2,8777,0.022787,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.io.FileOutputStream.writeBytes(byte[], int, int, boolean)",,,2,8777,0.022787,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,575,9,1,8777,0.011393,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"Run.printResult(long, int)",,,1,8777,0.011393,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.lang.String.startsWith(String, int) line: 2360",,,1,8777,0.011393,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,jdk.internal.classfile.impl.StackMapGenerator.processMethod() line: 428,,,1,8777,0.011393,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,jdk.jfr.internal.event.EventWriter.endEvent() line: 274,,,1,8777,0.011393,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,jdk.jfr.internal.periodic.PeriodicEvents.doPeriodic() line: 145,,,1,8777,0.011393,no_marker
