benchmark,comp_id,comp_name,method_dot,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,loop_median_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
CD,52,java.util.ImmutableCollections$SetN$SetNIterator.next,java.util.ImmutableCollections$SetN$SetNIterator.next,0,0,383892,387046,0.8215852375147177,,6.754487374659194e-05,573020539578,-1.0
CD,57,"java.util.HashMap.putVal(int,",java.util.HashMap.putVal,0,0,10470,11630,11.0792741165234,,2.0295956596189194e-06,573020539578,-1.0
CD,58,java.lang.String.equals,java.lang.String.equals,0,0,4998,5076,1.56062424969988,,8.858321210856092e-07,573020539578,-1.0
CD,69,java.util.HashMap.resize,java.util.HashMap.resize,0,0,20332,17804,-12.433602203423174,,3.1070439487407776e-06,573020539578,-1.0
CD,69,java.util.HashMap.resize,java.util.HashMap.resize,1,0,8540,7252,-15.081967213114755,,1.2655741808732934e-06,573020539578,-1.0
CD,69,java.util.HashMap.resize,java.util.HashMap.resize,2,0,17204,16570,-3.685189490816089,,2.8916939019677982e-06,573020539578,-1.0
CD,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,54,86,59.25925925925925,,1.500818802469708e-08,573020539578,-1.0
CD,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,52,394,657.6923076923076,,6.875844281082152e-08,573020539578,-1.0
CD,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,48,78,62.5,,1.361207751077177e-08,573020539578,-1.0
CD,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,102930,103726,0.7733411056057514,,1.810161989592709e-05,573020539578,-1.0
CD,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,204570,205636,0.5210930243926284,,3.588632270519313e-05,573020539578,-1.0
CD,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,163450,163978,0.32303456714591616,,2.861642623155556e-05,573020539578,-1.0
CD,87,"java.lang.StringCoding.countPositives(byte[],",java.lang.StringCoding.countPositives,0,0,352,162,-53.97727272727273,,2.8271237906987526e-08,573020539578,-1.0
CD,88,"java.lang.StringCoding.countPositives(byte[],",java.lang.StringCoding.countPositives,0,0,15000,14512,-3.253333333333333,,2.5325444722605125e-06,573020539578,-1.0
CD,138,"java.lang.StringLatin1.equals(byte[],",java.lang.StringLatin1.equals,0,0,31144,31728,1.875160544567172,,5.536974298227779e-06,573020539578,-1.0
CD,142,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,1,1,383190,422322,10.212166288264307,,7.370102305774559e-05,573020539578,-1.0
CD,142,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,2,0,16544,17632,6.5764023210831715,,3.077027572691383e-06,573020539578,-1.0
CD,142,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,5,0,246,260,5.691056910569105,,4.5373591702572575e-08,573020539578,-1.0
CD,143,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,0,2,87100,86950,-0.1722158438576349,,1.5173976148225714e-05,573020539578,-1.0
CD,143,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,1,1,426474,436304,2.304947077664758,,7.614107520845855e-05,573020539578,-1.0
CD,143,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,2,0,142466,142714,0.1740766217904623,,2.4905564485542087e-05,573020539578,-1.0
CD,173,"cd.RedBlackTree.treeInsert(Comparable,",cd.RedBlackTree.treeInsert,0,1,71254424376,118647219374,66.51207333865278,76.7489292270039,20.705578802005515,573020539578,-1.0
CD,176,cd.RedBlackTree.findNode,cd.RedBlackTree.findNode,0,1,19755531014,37285818116,88.73609668895736,102.14417744916817,6.506890336506799,573020539578,-1.0
