benchmark,comp_id,comp_name,method_dot,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,loop_median_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
Json,52,java.util.ImmutableCollections$SetN$SetNIterator.next,java.util.ImmutableCollections$SetN$SetNIterator.next,0,0,370588,380004,2.540827010048895,,0.00011409576144187063,333057069954,-1.0
Json,57,"java.util.HashMap.putVal(int,",java.util.HashMap.putVal,0,0,10984,11382,3.6234522942461758,,3.4174323342158806e-06,333057069954,-1.0
Json,58,java.lang.String.equals,java.lang.String.equals,0,0,7353712,7419464,0.8941334662004712,,0.0022276854837595056,333057069954,-1.0
Json,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,58,80,37.93103448275862,,2.4019907462420524e-08,333057069954,-1.0
Json,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,50,1512,2924.0,,4.539762510397479e-07,333057069954,-1.0
Json,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,52,78,50.0,,2.3419409775860012e-08,333057069954,-1.0
Json,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,91622,92814,1.3009975770011568,,2.7867296140213733e-05,333057069954,-1.0
Json,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,183202,183274,0.03930088099474897,,5.502780650334575e-05,333057069954,-1.0
Json,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,147470,146756,-0.4841662711059877,,4.406331924443734e-05,333057069954,-1.0
Json,87,"java.lang.StringCoding.countPositives(byte[],",java.lang.StringCoding.countPositives,0,0,182,164,-9.89010989010989,,4.924081029796207e-08,333057069954,-1.0
Json,88,"java.lang.StringCoding.countPositives(byte[],",java.lang.StringCoding.countPositives,0,0,13376,13582,1.5400717703349283,,4.077979789432445e-06,333057069954,-1.0
Json,141,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,1,1,372270,367764,-1.2104117978886293,,0.00011042071560012029,333057069954,-1.0
Json,141,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,2,0,16548,17082,3.2269760696156635,,5.1288507409133435e-06,333057069954,-1.0
Json,141,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,5,0,348,220,-36.7816091954023,,6.605474552165644e-08,333057069954,-1.0
Json,142,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,0,2,87130,87730,0.6886261907494549,,2.6340831020976908e-05,333057069954,-1.0
Json,142,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,1,1,431602,428378,-0.7469844903406379,,0.00012861999898670977,333057069954,-1.0
Json,142,java.util.Properties$LineReader.readLine,java.util.Properties$LineReader.readLine,2,0,142734,143064,0.23119929379124804,,4.295480051504663e-05,333057069954,-1.0
Json,185,"json.JsonPureStringParser.subStringFromTo(int,",json.JsonPureStringParser.subStringFromTo,0,0,279534,278566,-0.34629061223321667,,8.363911927720796e-05,333057069954,-1.0
Json,185,"json.JsonPureStringParser.subStringFromTo(int,",json.JsonPureStringParser.subStringFromTo,1,0,235424,235270,-0.06541389153187441,,7.063954535854597e-05,333057069954,-1.0
