benchmark,comp_id,comp_name,method_dot,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,loop_median_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
LoopBenchmarks,52,java.util.ImmutableCollections$SetN$SetNIterator.next(),,0,0,353490,345996,-2.1200033947212087,,9.20935008018175e-05,375700779086,82.52044538316134
LoopBenchmarks,57,"java.util.HashMap.putVal(int,",,0,0,10878,11374,4.559661702518845,,3.0274092131697254e-06,375700779086,82.52044538316134
LoopBenchmarks,58,java.lang.String.equals(Object),,0,0,4326,4272,-1.248266296809986,,1.1370750974732782e-06,375700779086,82.52044538316134
LoopBenchmarks,71,java.util.HashMap.resize(),,0,0,24702,25096,1.5950125495911263,,6.67978385912673e-06,375700779086,82.52044538316134
LoopBenchmarks,71,java.util.HashMap.resize(),,1,0,9936,10226,2.918679549114332,,2.7218468976502207e-06,375700779086,82.52044538316134
LoopBenchmarks,71,java.util.HashMap.resize(),,2,0,17218,17190,-0.16262051341619235,,4.575449654860874e-06,375700779086,82.52044538316134
LoopBenchmarks,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",,0,0,78,84,7.6923076923076925,,2.2358218208744233e-08,375700779086,82.52044538316134
LoopBenchmarks,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",,1,0,128,52,-59.375,,1.3840801748270241e-08,375700779086,82.52044538316134
LoopBenchmarks,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",,2,0,130,142,9.230769230769232,,3.779603554335334e-08,375700779086,82.52044538316134
LoopBenchmarks,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",,0,0,171666,151212,-11.914997728146517,,4.02479868069123e-05,375700779086,82.52044538316134
LoopBenchmarks,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",,1,0,238404,239200,0.33388701531853493,,6.36676880420431e-05,375700779086,82.52044538316134
LoopBenchmarks,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",,2,0,233030,232772,-0.11071535853752734,,6.195675201054539e-05,375700779086,82.52044538316134
LoopBenchmarks,87,"java.lang.StringCoding.countPositives(byte[],",,0,0,170,360,111.76470588235294,,9.582093518033244e-08,375700779086,82.52044538316134
LoopBenchmarks,88,"java.lang.StringCoding.countPositives(byte[],-Re-Comp",,0,0,8756,8144,-6.98949291914116,,2.1676824891906315e-06,375700779086,82.52044538316134
LoopBenchmarks,138,"java.lang.StringLatin1.equals(byte[],",,0,0,41954,40076,-4.476331219907518,,1.0666999439686118e-05,375700779086,82.52044538316134
LoopBenchmarks,140,java.util.Properties$LineReader.readLine(),,1,1,264854,392976,48.374576181594385,,0.00010459813284285087,375700779086,82.52044538316134
