benchmark,comp_id,comp_name,method_dot,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,loop_median_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
LoopBenchmarks,52,java.util.ImmutableCollections$SetN$SetNIterator.next(),,0,0,347566,363330,4.535541451120075,,9.66874323108003e-05,375777897206,82.52044538316134
LoopBenchmarks,57,"java.util.HashMap.putVal(int,",,0,0,10698,10492,-1.9255935688913817,,2.7920748074888305e-06,375777897206,82.52044538316134
LoopBenchmarks,58,java.lang.String.equals(Object),,0,0,4234,4324,2.1256495040151155,,1.1506797052594075e-06,375777897206,82.52044538316134
LoopBenchmarks,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",,0,0,100,80,-20.0,,2.1289171235141674e-08,375777897206,82.52044538316134
LoopBenchmarks,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",,1,0,156,50,-67.94871794871796,,1.3305732021963545e-08,375777897206,82.52044538316134
LoopBenchmarks,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",,2,0,136,148,8.823529411764707,,3.93849667850121e-08,375777897206,82.52044538316134
LoopBenchmarks,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",,0,0,152024,151470,-0.36441614481923906,,4.0308384587336364e-05,375777897206,82.52044538316134
LoopBenchmarks,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",,1,0,239588,259402,8.27003021854183,,6.903066995922775e-05,375777897206,82.52044538316134
LoopBenchmarks,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",,2,0,231952,233578,0.7010071049182589,,6.215852548452401e-05,375777897206,82.52044538316134
LoopBenchmarks,87,"java.lang.StringCoding.countPositives(byte[],",,0,0,168,284,69.04761904761905,,7.557655788475294e-08,375777897206,82.52044538316134
LoopBenchmarks,88,"java.lang.StringCoding.countPositives(byte[],-Re-Comp",,0,0,8150,8348,2.4294478527607364,,2.2215250183870336e-06,375777897206,82.52044538316134
LoopBenchmarks,138,"java.lang.StringLatin1.equals(byte[],",,0,0,40298,39778,-1.2903866196833589,,1.0585508167393318e-05,375777897206,82.52044538316134
LoopBenchmarks,140,java.util.Properties$LineReader.readLine(),,1,1,297106,344432,15.928995038807697,,9.165839783577896e-05,375777897206,82.52044538316134
LoopBenchmarks,140,java.util.Properties$LineReader.readLine(),,2,0,15772,14742,-6.530560486938879,,3.923062029355732e-06,375777897206,82.52044538316134
LoopBenchmarks,140,java.util.Properties$LineReader.readLine(),,5,0,194,194,0.0,,5.162624024521856e-08,375777897206,82.52044538316134
LoopBenchmarks,141,java.util.Properties$LineReader.readLine()-Re-Comp,,0,2,62460,60242,-3.551072686519372,,1.603127816934256e-05,375777897206,82.52044538316134
LoopBenchmarks,141,java.util.Properties$LineReader.readLine()-Re-Comp,,1,1,358694,343902,-4.123849297730098,,9.151735707634615e-05,375777897206,82.52044538316134
