benchmark,comp_id,comp_name,method_dot,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,loop_median_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
Mandelbrot,52,java.util.ImmutableCollections$SetN$SetNIterator.next,java.util.ImmutableCollections$SetN$SetNIterator.next,0,0,378688,402836,6.376753422342403,,7.874088922820471e-05,511596965628,-1.0
Mandelbrot,57,"java.util.HashMap.putVal(int,",java.util.HashMap.putVal,0,0,10984,10168,-7.428987618353969,,1.9875020148953557e-06,511596965628,-1.0
Mandelbrot,58,java.lang.String.equals,java.lang.String.equals,0,0,5168,5172,0.07739938080495357,,1.0109520477024763e-06,511596965628,-1.0
Mandelbrot,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,62,84,35.483870967741936,,1.641917478867131e-08,511596965628,-1.0
Mandelbrot,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,60,184,206.66666666666669,,3.596581144185144e-08,511596965628,-1.0
Mandelbrot,84,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,56,76,35.714285714285715,,1.4855443856416898e-08,511596965628,-1.0
Mandelbrot,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,95172,93626,-1.6244273525826924,,1.830073403290643e-05,511596965628,-1.0
Mandelbrot,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,190282,190494,0.11141358615108102,,3.723517002610896e-05,511596965628,-1.0
Mandelbrot,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,152522,151900,-0.40781002084945117,,2.969134107618062e-05,511596965628,-1.0
Mandelbrot,87,"java.lang.StringCoding.countPositives(byte[],",java.lang.StringCoding.countPositives,0,0,160,342,113.75,,6.684949735387605e-08,511596965628,-1.0
