benchmark,comp_id,comp_name,method_dot,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,loop_median_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
mnemonics,52,java.util.ImmutableCollections$SetN$SetNIterator.next(),java.util.ImmutableCollections$SetN$SetNIterator.next,0,0,362978,374876,3.2778846100865615,,8.050273430952922e-06,4656686548790,-1.0
mnemonics,56,"java.util.HashMap.putVal(int,",java.util.HashMap.putVal,0,0,21818772,29039478,33.09400730710234,28.37465564738292,0.0006236081749488949,4656686548790,-1.0
mnemonics,63,java.lang.String.equals(Object),java.lang.String.equals,0,0,713162,704768,-1.177011674766743,,1.5134538101627819e-05,4656686548790,-1.0
mnemonics,71,java.util.HashMap.resize(),java.util.HashMap.resize,0,0,458096890,585419614,27.793841604120033,-46.37380853709075,0.012571591578396366,4656686548790,-1.0
mnemonics,71,java.util.HashMap.resize(),java.util.HashMap.resize,1,0,214549202,255059556,18.881614856810327,37.86724700761698,0.005477275597737517,4656686548790,-1.0
mnemonics,71,java.util.HashMap.resize(),java.util.HashMap.resize,2,0,70464888,86041668,22.10573299995879,-16.494845360824755,0.0018477015169156528,4656686548790,-1.0
mnemonics,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,86,80,-6.976744186046512,,1.717959737289754e-09,4656686548790,-1.0
mnemonics,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,202,148,-26.732673267326735,,3.178225513986045e-09,4656686548790,-1.0
mnemonics,85,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,150,132,-12.0,,2.834633566528094e-09,4656686548790,-1.0
mnemonics,86,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,387158,339886,-12.210002117998336,,7.298880790855817e-06,4656686548790,-1.0
mnemonics,86,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,772856,769068,-0.4901301147949942,,1.651534824047446e-05,4656686548790,-1.0
mnemonics,86,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,621514,518660,-16.548943386633287,,1.11379624667838e-05,4656686548790,-1.0
mnemonics,89,"java.lang.StringCoding.countPositives(byte[],",java.lang.StringCoding.countPositives,0,0,154,172,11.688311688311687,,3.6936134351729715e-09,4656686548790,-1.0
mnemonics,90,"java.lang.StringCoding.countPositives(byte[],-Re-Comp",java.lang.StringCoding.countPositives,0,0,1420172,1315034,-7.40318778288827,,2.8239693314588678e-05,4656686548790,-1.0
mnemonics,195,"java.util.regex.Pattern$BmpCharPropertyGreedy.match(Matcher,",java.util.regex.Pattern$BmpCharPropertyGreedy.match,0,0,10526,9254,-12.084362530875927,,1.987249926109923e-07,4656686548790,-1.0
mnemonics,207,java.util.Properties$LineReader.readLine(),java.util.Properties$LineReader.readLine,0,4,77192,75628,-2.0261166960306767,,1.624073237646869e-06,4656686548790,-1.0
