benchmark,comp_id,comp_name,method_dot,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,loop_median_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
scrabble,52,java.util.ImmutableCollections$SetN$SetNIterator.next(),java.util.ImmutableCollections$SetN$SetNIterator.next,0,0,374588,367040,-2.015013828526274,,1.8358448893912614e-05,1999297446756,-1.0
scrabble,56,"java.util.HashMap.putVal(int,",java.util.HashMap.putVal,0,1,10851630,10875848,0.22317384577247842,,0.0005439834886823281,1999297446756,-1.0
scrabble,57,java.lang.String.equals(Object),java.lang.String.equals,0,0,2310076874,2432820908,5.313417721353285,,0.12168379007072821,1999297446756,-1.0
scrabble,67,java.util.HashMap.resize(),java.util.HashMap.resize,0,0,28998,35684,23.056762535347268,22.222222222222225,1.7848269679881693e-06,1999297446756,-1.0
scrabble,67,java.util.HashMap.resize(),java.util.HashMap.resize,1,0,12260,15814,28.988580750407834,100.0,7.909778520279371e-07,1999297446756,-1.0
scrabble,67,java.util.HashMap.resize(),java.util.HashMap.resize,2,0,14084,13936,-1.050837830161886,0.9687034277198303,6.970448555622444e-07,1999297446756,-1.0
scrabble,80,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,84,78,-7.142857142857142,,3.901370460236443e-09,1999297446756,-1.0
scrabble,80,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,48,52,8.333333333333332,,2.6009136401576283e-09,1999297446756,-1.0
scrabble,80,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,114,112,-1.7543859649122806,,5.601967840339507e-09,1999297446756,-1.0
scrabble,81,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",jdk.internal.util.ArraysSupport.unsignedHashCode,0,0,324554,322898,-0.5102386659847051,,1.6150573318838804e-05,1999297446756,-1.0
scrabble,81,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",jdk.internal.util.ArraysSupport.unsignedHashCode,1,0,651182,651272,0.013821020851313457,,3.2575042851014206e-05,1999297446756,-1.0
scrabble,81,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",jdk.internal.util.ArraysSupport.unsignedHashCode,2,0,514914,516158,0.24159374186757399,,2.5816968897624636e-05,1999297446756,-1.0
scrabble,84,"java.lang.StringCoding.countPositives(byte[],",java.lang.StringCoding.countPositives,0,0,142,164,15.492957746478872,,8.202881480497135e-09,1999297446756,-1.0
scrabble,85,"java.lang.StringCoding.countPositives(byte[],-Re-Comp",java.lang.StringCoding.countPositives,0,0,14215464,14461992,1.734224081605778,,0.0007233536972432788,1999297446756,-1.0
scrabble,193,"java.util.regex.Pattern$BmpCharPropertyGreedy.match(Matcher,",java.util.regex.Pattern$BmpCharPropertyGreedy.match,0,1,10464,10604,1.337920489296636,,5.303863123121441e-07,1999297446756,-1.0
scrabble,206,java.util.Properties$LineReader.readLine(),java.util.Properties$LineReader.readLine,0,4,65540,64558,-1.4983216356423559,,3.2290342842556957e-06,1999297446756,-1.0
scrabble,207,java.util.Properties$LineReader.readLine()-Re-Comp,java.util.Properties$LineReader.readLine,0,5,3069792,3037306,-1.0582475946253036,,0.00015191866547562702,1999297446756,-1.0
scrabble,207,java.util.Properties$LineReader.readLine()-Re-Comp,java.util.Properties$LineReader.readLine,1,1,734248,728858,-0.7340843965526634,,3.6455706037269396e-05,1999297446756,-1.0
scrabble,207,java.util.Properties$LineReader.readLine()-Re-Comp,java.util.Properties$LineReader.readLine,2,0,241288,243410,0.8794469679387289,,1.2174776714437852e-05,1999297446756,-1.0
scrabble,208,"java.util.Properties.loadConvert(char[],",java.util.Properties.loadConvert,0,0,254,270,6.299212598425196,,1.3504743900818456e-08,1999297446756,-1.0
scrabble,208,"java.util.Properties.loadConvert(char[],",java.util.Properties.loadConvert,1,0,170,176,3.5294117647058822,,8.803092320533512e-09,1999297446756,-1.0
scrabble,209,"java.util.Properties.loadConvert(char[],-Re-Comp",java.util.Properties.loadConvert,0,0,9766,9714,-0.5324595535531436,,4.858706750094461e-07,1999297446756,-1.0
scrabble,209,"java.util.Properties.loadConvert(char[],-Re-Comp",java.util.Properties.loadConvert,1,0,1526,1482,-2.8833551769331587,,7.41260387444924e-08,1999297446756,-1.0
scrabble,220,"java.lang.StringLatin1.indexOfChar(byte[],",java.lang.StringLatin1.indexOfChar,0,0,644480,668172,3.6761420059582917,,3.3420339784065435e-05,1999297446756,-1.0
scrabble,227,"java.lang.StringUTF16.compress(char[],",java.lang.StringUTF16.compress,0,0,136,140,2.941176470588235,,7.002459800424384e-09,1999297446756,-1.0
scrabble,228,"java.lang.StringUTF16.compress(char[],-Re-Comp",java.lang.StringUTF16.compress,0,0,394608,384788,-2.488545594615416,,1.9246160726326415e-05,1999297446756,-1.0
scrabble,229,"java.util.Properties.loadConvert(char[],-Re-Comp",java.util.Properties.loadConvert,0,0,126,126,0.0,,6.3022138203819465e-09,1999297446756,-1.0
scrabble,229,"java.util.Properties.loadConvert(char[],-Re-Comp",java.util.Properties.loadConvert,1,0,130,130,0.0,,6.50228410039407e-09,1999297446756,-1.0
scrabble,230,"java.util.Properties.loadConvert(char[],-Re-Comp",java.util.Properties.loadConvert,0,0,257914,244172,-5.328132633358406,,1.221289010278016e-05,1999297446756,-1.0
scrabble,230,"java.util.Properties.loadConvert(char[],-Re-Comp",java.util.Properties.loadConvert,1,0,122830,124242,1.1495562973215012,,6.214282932316617e-06,1999297446756,-1.0
scrabble,247,"jdk.internal.jimage.ImageStringsReader.unmaskedHashCode(String,",jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,0,0,253616,168,-99.93375812251593,,8.40295176050926e-09,1999297446756,-1.0
scrabble,270,"jdk.internal.util.ArraysSupport.vectorizedHashCode(Object,",jdk.internal.util.ArraysSupport.vectorizedHashCode,0,0,78,78,0.0,,3.901370460236443e-09,1999297446756,-1.0
scrabble,270,"jdk.internal.util.ArraysSupport.vectorizedHashCode(Object,",jdk.internal.util.ArraysSupport.vectorizedHashCode,1,0,228,226,-0.8771929824561403,,1.1303970820685078e-08,1999297446756,-1.0
scrabble,270,"jdk.internal.util.ArraysSupport.vectorizedHashCode(Object,",jdk.internal.util.ArraysSupport.vectorizedHashCode,2,0,114,110,-3.508771929824561,,5.501932700333444e-09,1999297446756,-1.0
scrabble,279,"java.util.jar.JarFile.match(byte[],",java.util.jar.JarFile.match,0,0,695462,696452,0.14235141531816262,,3.4834836663751164e-05,1999297446756,-1.0
