comp_id,method,loop_id,probe_node,probe_graal_block_id
52,java.util.ImmutableCollections$SetN$SetNIterator.next,0,b7,7
56,java.util.HashMap.putVal,0,b38,38
57,java.lang.String.equals,0,b11,11
57,java.util.HashMap.putVal,0,b38,38
58,java.lang.String.equals,0,b11,11
69,java.util.HashMap.resize,2,b23,23
69,java.util.HashMap.resize,0,b48,48
69,java.util.HashMap.resize,1,b62,62
73,java.util.HashMap.resize,2,b23,23
73,java.util.HashMap.resize,0,b48,48
73,java.util.HashMap.resize,1,b62,62
84,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b18,18
84,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b21,21
84,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b24,24
85,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b9,9
85,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b12,12
85,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b15,15
87,java.lang.StringCoding.countPositives,0,b22,22
88,java.lang.StringCoding.countPositives,0,b11,11
133,BuboAgentCompilerMarkers.warmupMarkers,0,b2,2
133,BuboAgentCompilerMarkers.warmupMarkers,1,b5,5
133,BuboAgentCompilerMarkers.warmupMarkers,2,b8,8
134,BuboAgentCompilerMarkers.warmupMarkers,0,b0,0
134,BuboAgentCompilerMarkers.warmupMarkers,1,b3,3
134,BuboAgentCompilerMarkers.warmupMarkers,2,b6,6
138,java.lang.StringLatin1.equals,0,b7,7
141,java.util.Properties$LineReader.readLine,5,b38,38
141,java.util.Properties$LineReader.readLine,3,b53,53
141,java.util.Properties$LineReader.readLine,4,b62,62
141,java.util.Properties$LineReader.readLine,0,b74,74
141,java.util.Properties$LineReader.readLine,1,b95,95
141,java.util.Properties$LineReader.readLine,2,b104,104
142,java.util.Properties$LineReader.readLine,5,b38,38
142,java.util.Properties$LineReader.readLine,3,b53,53
142,java.util.Properties$LineReader.readLine,4,b62,62
142,java.util.Properties$LineReader.readLine,0,b74,74
142,java.util.Properties$LineReader.readLine,1,b95,95
142,java.util.Properties$LineReader.readLine,2,b104,104
143,java.util.Properties$LineReader.readLine,0,b0,0
143,java.util.Properties$LineReader.readLine,1,b24,24
143,java.util.Properties$LineReader.readLine,2,b33,33
172,LoopBenchmarks.fibonacciLoop,0,b4,4
172,LoopBenchmarks.fibonacciLoop,1,b7,7
172,LoopBenchmarks.fibonacciLoop,2,b10,10
173,LoopBenchmarks.fibonacciLoop,0,b4,4
173,LoopBenchmarks.fibonacciLoop,1,b7,7
173,LoopBenchmarks.fibonacciLoop,2,b10,10
173,LoopBenchmarks.main,1,b1,1
173,LoopBenchmarks.main,3,b4,4
173,LoopBenchmarks.main,4,b7,7
173,LoopBenchmarks.main,0,b10,10
173,LoopBenchmarks.main,2,b12,12
173,LoopBenchmarks.main,5,b15,15
173,LoopBenchmarks.main,6,b18,18
174,LoopBenchmarks.main,1,b1,1
174,LoopBenchmarks.main,3,b4,4
174,LoopBenchmarks.main,4,b7,7
174,LoopBenchmarks.main,0,b10,10
174,LoopBenchmarks.main,2,b12,12
174,LoopBenchmarks.main,5,b15,15
174,LoopBenchmarks.main,6,b18,18
175,LoopBenchmarks.main,1,b28,28
175,LoopBenchmarks.main,6,b75,75
175,LoopBenchmarks.main,2,b83,83
175,LoopBenchmarks.main,0,b102,102
175,LoopBenchmarks.main,3,b104,104
175,LoopBenchmarks.main,4,b107,107
175,LoopBenchmarks.main,5,b110,110
175,java.lang.StringLatin1.equals,0,b7,7
184,java.util.regex.Pattern$BmpCharPropertyGreedy.match,0,b6,6
188,LoopBenchmarks.main,3,b1,1
188,LoopBenchmarks.main,2,b5,5
188,LoopBenchmarks.main,4,b7,7
188,LoopBenchmarks.main,0,b16,16
188,LoopBenchmarks.main,1,b18,18
188,LoopBenchmarks.main,5,b20,20
189,LoopBenchmarks.main,3,b40,40
189,LoopBenchmarks.main,8,b94,94
189,LoopBenchmarks.main,0,b106,106
189,LoopBenchmarks.main,4,b108,108
189,LoopBenchmarks.main,6,b111,111
189,LoopBenchmarks.main,7,b114,114
189,LoopBenchmarks.main,1,b135,135
189,LoopBenchmarks.main,2,b137,137
189,LoopBenchmarks.main,5,b139,139
190,LoopBenchmarks.main,3,b1,1
190,LoopBenchmarks.main,2,b7,7
190,LoopBenchmarks.main,4,b9,9
190,LoopBenchmarks.main,0,b17,17
190,LoopBenchmarks.main,1,b19,19
190,LoopBenchmarks.main,5,b21,21
191,LoopBenchmarks.main,6,b1,1
191,LoopBenchmarks.main,5,b7,7
191,LoopBenchmarks.main,7,b9,9
191,LoopBenchmarks.main,3,b17,17
191,LoopBenchmarks.main,4,b19,19
191,LoopBenchmarks.main,8,b21,21
191,LoopBenchmarks.main,0,b28,28
191,LoopBenchmarks.main,1,b30,30
191,LoopBenchmarks.main,2,b32,32
191,LoopBenchmarks.main,9,b34,34
194,LoopBenchmarks.parseJsonLoop,0,b34,34
195,LoopBenchmarks.parseJsonLoop,0,b14,14
197,LoopBenchmarks.main,2,b25,25
197,LoopBenchmarks.main,3,b28,28
197,LoopBenchmarks.main,4,b31,31
197,LoopBenchmarks.main,0,b44,44
197,LoopBenchmarks.main,1,b46,46
198,LoopBenchmarks.matrixMultiplyLoop,5,b44,44
198,LoopBenchmarks.matrixMultiplyLoop,3,b92,92
198,LoopBenchmarks.matrixMultiplyLoop,4,b96,96
198,LoopBenchmarks.matrixMultiplyLoop,0,b102,102
198,LoopBenchmarks.matrixMultiplyLoop,1,b104,104
198,LoopBenchmarks.matrixMultiplyLoop,2,b118,118
199,LoopBenchmarks.matrixMultiplyLoop,0,b6,6
199,LoopBenchmarks.matrixMultiplyLoop,1,b22,22
199,LoopBenchmarks.matrixMultiplyLoop,2,b24,24
200,LoopBenchmarks.sieveLoop,0,b18,18
200,LoopBenchmarks.sieveLoop,1,b21,21
200,LoopBenchmarks.sieveLoop,2,b24,24
201,LoopBenchmarks.sieveLoop,0,b10,10
201,LoopBenchmarks.sieveLoop,4,b13,13
201,LoopBenchmarks.sieveLoop,5,b16,16
201,LoopBenchmarks.sieveLoop,1,b20,20
201,LoopBenchmarks.sieveLoop,2,b26,26
201,LoopBenchmarks.sieveLoop,3,b41,41
202,LoopBenchmarks.sieveLoop,0,b11,11
203,LoopBenchmarks.sieveLoop,1,b11,11
203,LoopBenchmarks.sieveLoop,0,b21,21
203,LoopBenchmarks.sieveLoop,2,b27,27
204,LoopBenchmarks.sieveLoop,1,b11,11
204,LoopBenchmarks.sieveLoop,0,b21,21
204,LoopBenchmarks.sieveLoop,2,b27,27
205,LoopBenchmarks.sieveLoop,0,b25,25
206,LoopBenchmarks.main,0,b4,4
206,LoopBenchmarks.main,1,b7,7
206,LoopBenchmarks.main,2,b10,10
207,LoopBenchmarks.histogramLoop,0,b20,20
208,LoopBenchmarks.histogramLoop,0,b2,2
208,LoopBenchmarks.histogramLoop,1,b18,18
209,LoopBenchmarks.histogramLoop,0,b26,26
210,LoopBenchmarks.main,0,b3,3
210,LoopBenchmarks.main,1,b6,6
210,LoopBenchmarks.main,2,b9,9
211,LoopBenchmarks.crc32Loop,1,b15,15
211,LoopBenchmarks.crc32Loop,0,b48,48
212,LoopBenchmarks.crc32Loop,0,b30,30
213,LoopBenchmarks.polynomialLoop,0,b18,18
213,LoopBenchmarks.polynomialLoop,1,b21,21
213,LoopBenchmarks.polynomialLoop,2,b24,24
214,LoopBenchmarks.polynomialLoop,0,b2,2
214,LoopBenchmarks.polynomialLoop,1,b5,5
214,LoopBenchmarks.polynomialLoop,2,b8,8
215,LoopBenchmarks.main,1,b4,4
215,LoopBenchmarks.main,3,b7,7
215,LoopBenchmarks.main,4,b10,10
215,LoopBenchmarks.main,0,b14,14
215,LoopBenchmarks.main,2,b16,16
218,LoopBenchmarks.editDistanceLoop,5,b11,11
218,LoopBenchmarks.editDistanceLoop,6,b20,20
218,LoopBenchmarks.editDistanceLoop,0,b26,26
218,LoopBenchmarks.editDistanceLoop,3,b29,29
218,LoopBenchmarks.editDistanceLoop,4,b32,32
218,LoopBenchmarks.editDistanceLoop,1,b45,45
218,LoopBenchmarks.editDistanceLoop,2,b73,73
219,LoopBenchmarks.main,0,b16,16
220,LoopBenchmarks.monteCarloPiLoop,0,b8,8
221,LoopBenchmarks.monteCarloPiLoop,0,b2,2
222,LoopBenchmarks.bubbleSortLoop,2,b28,28
222,LoopBenchmarks.bubbleSortLoop,0,b42,42
222,LoopBenchmarks.bubbleSortLoop,1,b44,44
223,LoopBenchmarks.bubbleSortLoop,0,b0,0
223,LoopBenchmarks.bubbleSortLoop,1,b14,14
224,LoopBenchmarks.main,2,b12,12
224,LoopBenchmarks.main,5,b15,15
224,LoopBenchmarks.main,6,b18,18
224,LoopBenchmarks.main,3,b27,27
224,LoopBenchmarks.main,4,b41,41
224,LoopBenchmarks.main,0,b46,46
224,LoopBenchmarks.main,1,b48,48
225,LoopBenchmarks.main,2,b14,14
225,LoopBenchmarks.main,3,b17,17
225,LoopBenchmarks.main,4,b20,20
225,LoopBenchmarks.main,0,b30,30
225,LoopBenchmarks.main,1,b32,32
226,LoopBenchmarks.blurLoop,3,b24,24
226,LoopBenchmarks.blurLoop,2,b133,133
226,LoopBenchmarks.blurLoop,4,b136,136
226,LoopBenchmarks.blurLoop,5,b139,139
226,LoopBenchmarks.blurLoop,0,b158,158
226,LoopBenchmarks.blurLoop,1,b160,160
227,LoopBenchmarks.blurLoop,0,b2,2
227,LoopBenchmarks.blurLoop,1,b68,68
227,LoopBenchmarks.blurLoop,2,b71,71
227,LoopBenchmarks.blurLoop,3,b74,74
232,LoopBenchmarks.base64EncodeLoop,0,b96,96
233,LoopBenchmarks.base64EncodeLoop,3,b2,2
233,LoopBenchmarks.base64EncodeLoop,0,b46,46
233,LoopBenchmarks.base64EncodeLoop,1,b49,49
233,LoopBenchmarks.base64EncodeLoop,2,b52,52
234,LoopBenchmarks.main,0,b54,54
235,LoopBenchmarks.raySphereLoop,0,b91,91
236,LoopBenchmarks.raySphereLoop,0,b42,42
