comp_id,method,loop_id,vtune_block_id,graal_block_id,normal_time,slowdown_time,pct_increase_block,loop_total_normal_time,loop_total_slowdown_time,pct_increase_loop_total,block_share_of_loop_normal,block_share_of_loop_slowdown
195,LoopBenchmarks.parseJsonLoop,0,572,15,0.587,1.245,112.09540034071553,3.34,6.823,104.28143712574854,0.17574850299401198,0.18247105378865602
195,LoopBenchmarks.parseJsonLoop,0,573,16,0.943,1.796,90.45599151643692,3.34,6.823,104.28143712574854,0.2823353293413174,0.26322731936098487
195,LoopBenchmarks.parseJsonLoop,0,580,17,0.134,0.227,69.40298507462687,3.34,6.823,104.28143712574854,0.04011976047904192,0.03326982265865455
195,LoopBenchmarks.parseJsonLoop,0,574,18,0.355,0.827,132.95774647887325,3.34,6.823,104.28143712574854,0.1062874251497006,0.1212076799061996
195,LoopBenchmarks.parseJsonLoop,0,575,20,0.4,0.862,115.49999999999999,3.34,6.823,104.28143712574854,0.11976047904191618,0.12633738824563973
195,LoopBenchmarks.parseJsonLoop,0,576,21,0.517,1.102,113.15280464216634,3.34,6.823,104.28143712574854,0.15479041916167666,0.16151253114465777
195,LoopBenchmarks.parseJsonLoop,0,581,22,0.028,0.046,64.28571428571428,3.34,6.823,104.28143712574854,0.008383233532934133,0.006741902388978455
195,LoopBenchmarks.parseJsonLoop,0,583,23,0.013,0.033,153.84615384615387,3.34,6.823,104.28143712574854,0.0038922155688622755,0.004836582148614979
195,LoopBenchmarks.parseJsonLoop,0,582,24,0.03,0.055,83.33333333333334,3.34,6.823,104.28143712574854,0.008982035928143712,0.00806097024769163
195,LoopBenchmarks.parseJsonLoop,0,584,25,0.008,0.005,-37.5,3.34,6.823,104.28143712574854,0.0023952095808383233,0.0007328154770628756
195,LoopBenchmarks.parseJsonLoop,0,578,26,0.251,0.486,93.62549800796812,3.34,6.823,104.28143712574854,0.0751497005988024,0.0712296643705115
195,LoopBenchmarks.parseJsonLoop,0,579,27,0.074,0.139,87.83783783783787,3.34,6.823,104.28143712574854,0.02215568862275449,0.02037227026234794
199,LoopBenchmarks.matrixMultiplyLoop,0,178,22,0.002,0.002,0.0,0.002,0.007,250.0,1.0,0.2857142857142857
199,LoopBenchmarks.matrixMultiplyLoop,0,185,29,0.0,0.005,0.0,0.002,0.007,250.0,0.0,0.7142857142857143
199,LoopBenchmarks.matrixMultiplyLoop,1,179,24,0.264,0.295,11.74242424242423,0.708,0.753,6.3559322033898376,0.37288135593220345,0.39176626826029215
