comp_id,method,loop_id,probe_node,probe_graal_block_id
52,java.util.ImmutableCollections$SetN$SetNIterator.next,0,b4,4
56,java.util.HashMap.putVal,0,b38,38
57,java.lang.String.equals,0,b11,11
57,java.util.HashMap.putVal,0,b38,38
58,java.lang.String.equals,0,b11,11
69,java.util.HashMap.resize,2,b23,23
69,java.util.HashMap.resize,0,b48,48
69,java.util.HashMap.resize,1,b62,62
70,java.util.HashMap.resize,2,b23,23
70,java.util.HashMap.resize,0,b48,48
70,java.util.HashMap.resize,1,b62,62
75,java.util.HashMap.resize,2,b23,23
75,java.util.HashMap.resize,0,b48,48
75,java.util.HashMap.resize,1,b62,62
84,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b18,18
84,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b21,21
84,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b24,24
85,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b9,9
85,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b12,12
85,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b15,15
87,java.lang.StringCoding.countPositives,0,b22,22
88,java.lang.StringCoding.countPositives,0,b11,11
133,BuboAgentCompilerMarkers.warmupMarkers,0,b2,2
133,BuboAgentCompilerMarkers.warmupMarkers,1,b5,5
133,BuboAgentCompilerMarkers.warmupMarkers,2,b8,8
134,BuboAgentCompilerMarkers.warmupMarkers,0,b0,0
134,BuboAgentCompilerMarkers.warmupMarkers,1,b3,3
134,BuboAgentCompilerMarkers.warmupMarkers,2,b6,6
138,java.lang.StringLatin1.equals,0,b7,7
141,java.util.Properties$LineReader.readLine,5,b38,38
141,java.util.Properties$LineReader.readLine,3,b53,53
141,java.util.Properties$LineReader.readLine,4,b62,62
141,java.util.Properties$LineReader.readLine,0,b74,74
141,java.util.Properties$LineReader.readLine,1,b95,95
141,java.util.Properties$LineReader.readLine,2,b104,104
142,java.util.Properties$LineReader.readLine,5,b38,38
142,java.util.Properties$LineReader.readLine,3,b53,53
142,java.util.Properties$LineReader.readLine,4,b62,62
142,java.util.Properties$LineReader.readLine,0,b74,74
142,java.util.Properties$LineReader.readLine,1,b95,95
142,java.util.Properties$LineReader.readLine,2,b104,104
143,java.util.Properties$LineReader.readLine,0,b0,0
143,java.util.Properties$LineReader.readLine,1,b24,24
143,java.util.Properties$LineReader.readLine,2,b33,33
162,java.lang.StringLatin1.equals,0,b7,7
169,Sieve.sieve,1,b13,13
169,Sieve.sieve,0,b23,23
169,Sieve.sieve,2,b30,30
170,Sieve.sieve,0,b8,8
170,Sieve.sieve,1,b15,15
171,java.util.Arrays.fill,0,b18,18
171,java.util.Arrays.fill,1,b21,21
171,java.util.Arrays.fill,2,b24,24
172,java.util.Arrays.fill,0,b6,6
172,java.util.Arrays.fill,1,b9,9
172,java.util.Arrays.fill,2,b12,12
175,Sieve.benchmark,0,b3,3
175,Sieve.benchmark,3,b6,6
175,Sieve.benchmark,4,b9,9
175,Sieve.benchmark,1,b12,12
175,Sieve.benchmark,2,b18,18
187,Benchmark.innerBenchmarkLoop,1,b6,6
187,Benchmark.innerBenchmarkLoop,7,b9,9
187,Benchmark.innerBenchmarkLoop,8,b12,12
187,Benchmark.innerBenchmarkLoop,2,b15,15
187,Benchmark.innerBenchmarkLoop,3,b21,21
187,Benchmark.innerBenchmarkLoop,0,b30,30
187,Benchmark.innerBenchmarkLoop,4,b35,35
187,Benchmark.innerBenchmarkLoop,9,b38,38
187,Benchmark.innerBenchmarkLoop,10,b41,41
187,Benchmark.innerBenchmarkLoop,5,b44,44
187,Benchmark.innerBenchmarkLoop,6,b50,50
188,Benchmark.innerBenchmarkLoop,0,b1,1
188,Benchmark.innerBenchmarkLoop,1,b6,6
188,Benchmark.innerBenchmarkLoop,4,b9,9
188,Benchmark.innerBenchmarkLoop,5,b12,12
188,Benchmark.innerBenchmarkLoop,2,b15,15
188,Benchmark.innerBenchmarkLoop,3,b21,21
196,java.lang.StringLatin1.inflate,0,b14,14
196,java.lang.StringLatin1.inflate,1,b17,17
196,java.lang.StringLatin1.inflate,2,b20,20
