comp_id,method,loop_id,vtune_block_id,graal_block_id,normal_time,slowdown_time,pct_increase_block,loop_total_normal_time,loop_total_slowdown_time,pct_increase_loop_total,block_share_of_loop_normal,block_share_of_loop_slowdown
516,java.lang.StringLatin1$CharsSpliterator.forEachRemaining,0,110,6,0.162,0.306,88.88888888888889,1.7329999999999999,2.1229999999999998,22.50432775533756,0.09347951529140221,0.14413565708902498
516,java.lang.StringLatin1$CharsSpliterator.forEachRemaining,0,107,7,0.322,0.569,76.70807453416147,1.7329999999999999,2.1229999999999998,22.50432775533756,0.18580496249278708,0.2680169571361281
516,java.lang.StringLatin1$CharsSpliterator.forEachRemaining,0,109,8,0.078,0.186,138.46153846153845,1.7329999999999999,2.1229999999999998,22.50432775533756,0.045008655510675136,0.08761186999528969
530,java.util.stream.AbstractPipeline.wrapAndCopyInto,0,159,13,0.007,0.036,414.2857142857142,0.043,0.07999999999999999,86.04651162790697,0.16279069767441862,0.45
530,java.util.stream.AbstractPipeline.wrapAndCopyInto,0,156,14,0.0,0.005,0.0,0.043,0.07999999999999999,86.04651162790697,0.0,0.06250000000000001
530,java.util.stream.AbstractPipeline.wrapAndCopyInto,0,157,16,0.036,0.039,8.333333333333341,0.043,0.07999999999999999,86.04651162790697,0.8372093023255814,0.4875000000000001
551,java.util.HashMap.computeIfAbsent,0,754,46,0.006,0.012,100.0,0.20900000000000002,0.19,-9.090909090909099,0.028708133971291863,0.06315789473684211
551,java.util.HashMap.computeIfAbsent,0,752,64,0.003,0.008,166.66666666666669,0.20900000000000002,0.19,-9.090909090909099,0.014354066985645932,0.042105263157894736
551,java.util.HashMap.computeIfAbsent,0,753,65,0.026,0.025,-3.8461538461538365,0.20900000000000002,0.19,-9.090909090909099,0.12440191387559807,0.13157894736842105
586,java.util.HashMap$KeySpliterator.forEachRemaining,0,176,25,0.079,0.146,84.81012658227847,0.937,1.9040000000000004,103.20170757737463,0.08431163287086446,0.07668067226890754
586,java.util.HashMap$KeySpliterator.forEachRemaining,0,177,26,0.004,0.035,775.0000000000001,0.937,1.9040000000000004,103.20170757737463,0.004268943436499467,0.018382352941176468
586,java.util.HashMap$KeySpliterator.forEachRemaining,0,178,27,0.053,0.08,50.9433962264151,0.937,1.9040000000000004,103.20170757737463,0.05656350053361792,0.042016806722689065
586,java.util.HashMap$KeySpliterator.forEachRemaining,0,182,29,0.327,0.723,121.10091743119264,0.937,1.9040000000000004,103.20170757737463,0.3489861259338314,0.37972689075630245
586,java.util.HashMap$KeySpliterator.forEachRemaining,0,179,30,0.012,0.028,133.33333333333331,0.937,1.9040000000000004,103.20170757737463,0.012806830309498399,0.014705882352941175
586,java.util.HashMap$KeySpliterator.forEachRemaining,0,180,31,0.113,0.186,64.60176991150442,0.937,1.9040000000000004,103.20170757737463,0.12059765208110992,0.09768907563025209
586,java.util.HashMap$KeySpliterator.forEachRemaining,0,181,32,0.062,0.131,111.29032258064517,0.937,1.9040000000000004,103.20170757737463,0.06616862326574173,0.06880252100840335
586,java.util.HashMap$KeySpliterator.forEachRemaining,0,184,33,0.231,0.511,121.21212121212122,0.937,1.9040000000000004,103.20170757737463,0.24653148345784417,0.2683823529411764
685,java.util.HashMap.putVal,0,2089,45,0.025,0.082,227.99999999999997,0.363,0.46599999999999997,28.37465564738292,0.06887052341597796,0.17596566523605153
685,java.util.HashMap.putVal,0,2087,46,0.015,0.029,93.33333333333334,0.363,0.46599999999999997,28.37465564738292,0.04132231404958678,0.06223175965665237
685,java.util.HashMap.putVal,0,2088,49,0.051,0.062,21.568627450980397,0.363,0.46599999999999997,28.37465564738292,0.14049586776859505,0.13304721030042918
686,java.util.HashMap.resize,0,743,49,0.031,0.122,293.5483870967742,2.413,1.294,-46.37380853709075,0.0128470783257356,0.09428129829984544
686,java.util.HashMap.resize,0,744,50,0.07,0.054,-22.857142857142865,2.413,1.294,-46.37380853709075,0.029009531703273937,0.04173106646058732
686,java.util.HashMap.resize,0,762,51,0.166,0.039,-76.50602409638554,2.413,1.294,-46.37380853709075,0.06879403232490676,0.030139103554868624
686,java.util.HashMap.resize,0,745,52,0.11,0.098,-10.909090909090907,2.413,1.294,-46.37380853709075,0.045586406962287614,0.07573415765069552
686,java.util.HashMap.resize,0,750,53,0.037,0.307,729.7297297297298,2.413,1.294,-46.37380853709075,0.015333609614587651,0.23724884080370942
686,java.util.HashMap.resize,0,751,54,0.022,0.05,127.2727272727273,2.413,1.294,-46.37380853709075,0.009117281392457523,0.03863987635239567
686,java.util.HashMap.resize,0,763,56,0.088,0.331,276.1363636363637,2.413,1.294,-46.37380853709075,0.03646912556983009,0.25579598145285937
686,java.util.HashMap.resize,0,764,58,0.004,0.124,3000.0,2.413,1.294,-46.37380853709075,0.0016576875259013677,0.09582689335394126
686,java.util.HashMap.resize,0,765,59,0.006,0.014,133.33333333333331,2.413,1.294,-46.37380853709075,0.002486531288852052,0.010819165378670788
686,java.util.HashMap.resize,0,827,60,0.008,0.019,137.5,2.413,1.294,-46.37380853709075,0.0033153750518027355,0.014683153013910355
686,java.util.HashMap.resize,0,619,61,0.0,0.001,0.0,2.413,1.294,-46.37380853709075,0.0,0.0007727975270479134
686,java.util.HashMap.resize,0,766,61,0.728,0.03,-95.87912087912088,2.413,1.294,-46.37380853709075,0.30169912971404894,0.0231839258114374
686,java.util.HashMap.resize,0,796,71,0.948,0.004,-99.57805907172997,2.413,1.294,-46.37380853709075,0.39287194363862415,0.0030911901081916537
686,java.util.HashMap.resize,0,562,71,0.004,0.001,-75.0,2.413,1.294,-46.37380853709075,0.0016576875259013677,0.0007727975270479134
686,java.util.HashMap.resize,0,588,72,0.062,0.076,22.58064516129032,2.413,1.294,-46.37380853709075,0.0256941566514712,0.05873261205564142
686,java.util.HashMap.resize,0,811,74,0.011,0.0,-100.0,2.413,1.294,-46.37380853709075,0.004558640696228761,0.0
686,java.util.HashMap.resize,0,828,75,0.011,0.022,100.0,2.413,1.294,-46.37380853709075,0.004558640696228761,0.017001545595054093
686,java.util.HashMap.resize,0,812,76,0.005,0.002,-60.0,2.413,1.294,-46.37380853709075,0.0020721094073767096,0.0015455950540958269
686,java.util.HashMap.resize,1,771,62,0.17,0.083,-51.17647058823529,0.919,1.2670000000000001,37.86724700761698,0.18498367791077258,0.06550907655880031
686,java.util.HashMap.resize,1,767,63,0.011,0.81,7263.636363636364,0.919,1.2670000000000001,37.86724700761698,0.011969532100108813,0.6393054459352802
686,java.util.HashMap.resize,1,768,64,0.002,0.041,1950.0,0.919,1.2670000000000001,37.86724700761698,0.002176278563656148,0.03235990528808208
686,java.util.HashMap.resize,1,774,65,0.018,0.004,-77.77777777777779,0.919,1.2670000000000001,37.86724700761698,0.01958650707290533,0.003157063930544593
686,java.util.HashMap.resize,1,772,66,0.014,0.263,1778.5714285714284,0.919,1.2670000000000001,37.86724700761698,0.015233949945593036,0.207576953433307
686,java.util.HashMap.resize,1,773,67,0.004,0.028,600.0,0.919,1.2670000000000001,37.86724700761698,0.004352557127312296,0.022099447513812154
686,java.util.HashMap.resize,1,785,68,0.014,0.015,7.142857142857137,0.919,1.2670000000000001,37.86724700761698,0.015233949945593036,0.011838989739542224
686,java.util.HashMap.resize,1,769,69,0.008,0.017,112.5,0.919,1.2670000000000001,37.86724700761698,0.008705114254624592,0.013417521704814523
686,java.util.HashMap.resize,1,770,70,0.046,0.006,-86.95652173913044,0.919,1.2670000000000001,37.86724700761698,0.0500544069640914,0.00473559589581689
686,java.util.HashMap.resize,2,714,25,0.067,0.243,262.68656716417905,0.29100000000000004,0.243,-16.494845360824755,0.23024054982817868,1.0
