comp_id,method,loop_id,vtune_block_id,graal_block_id,normal_time,slowdown_time,pct_increase_block,loop_total_normal_time,loop_total_slowdown_time,pct_increase_loop_total,block_share_of_loop_normal,block_share_of_loop_slowdown
56,java.util.HashMap.putVal,0,1120,42,0.001,0.022,2099.9999999999995,0.15400000000000003,0.651,322.72727272727263,0.006493506493506492,0.033794162826420886
56,java.util.HashMap.putVal,0,1118,43,0.003,0.008,166.66666666666669,0.15400000000000003,0.651,322.72727272727263,0.019480519480519477,0.01228878648233487
56,java.util.HashMap.putVal,0,1119,46,0.01,0.039,290.0,0.15400000000000003,0.651,322.72727272727263,0.06493506493506493,0.059907834101382486
66,java.util.HashMap.resize,0,535,49,0.002,0.024,1100.0,0.978,4.453,355.316973415133,0.002044989775051125,0.005389624971929036
66,java.util.HashMap.resize,0,536,50,0.014,0.116,728.5714285714287,0.978,4.453,355.316973415133,0.014314928425357873,0.026049854030990343
66,java.util.HashMap.resize,0,554,51,0.069,0.33,378.2608695652174,0.978,4.453,355.316973415133,0.07055214723926381,0.07410734336402425
66,java.util.HashMap.resize,0,537,52,0.051,0.221,333.33333333333337,0.978,4.453,355.316973415133,0.05214723926380368,0.049629463283179874
66,java.util.HashMap.resize,0,542,53,0.016,0.076,375.0,0.978,4.453,355.316973415133,0.016359918200409,0.017067145744441948
66,java.util.HashMap.resize,0,543,54,0.005,0.051,919.9999999999999,0.978,4.453,355.316973415133,0.005112474437627812,0.011452953065349202
66,java.util.HashMap.resize,0,555,56,0.043,0.19,341.86046511627916,0.978,4.453,355.316973415133,0.04396728016359918,0.04266786436110487
66,java.util.HashMap.resize,0,556,59,0.007,0.011,57.14285714285713,0.978,4.453,355.316973415133,0.007157464212678937,0.002470244778800808
66,java.util.HashMap.resize,0,557,60,0.009,0.058,544.4444444444445,0.978,4.453,355.316973415133,0.00920245398773006,0.013024927015495171
66,java.util.HashMap.resize,0,620,61,0.002,0.036,1699.9999999999995,0.978,4.453,355.316973415133,0.002044989775051125,0.008084437457893555
66,java.util.HashMap.resize,0,558,62,0.179,0.677,278.21229050279334,0.978,4.453,355.316973415133,0.18302658486707565,0.15203233774983158
66,java.util.HashMap.resize,0,588,72,0.569,2.603,357.469244288225,0.978,4.453,355.316973415133,0.5817995910020449,0.5845497417471368
66,java.util.HashMap.resize,0,589,74,0.001,0.0,-100.0,0.978,4.453,355.316973415133,0.0010224948875255625,0.0
66,java.util.HashMap.resize,0,603,75,0.001,0.01,900.0,0.978,4.453,355.316973415133,0.0010224948875255625,0.0022456770716370983
66,java.util.HashMap.resize,0,619,76,0.005,0.009,79.99999999999999,0.978,4.453,355.316973415133,0.005112474437627812,0.0020211093644733886
66,java.util.HashMap.resize,1,563,63,0.044,0.151,243.18181818181822,0.265,1.0610000000000002,300.37735849056605,0.1660377358490566,0.14231856738925538
66,java.util.HashMap.resize,1,559,64,0.014,0.071,407.1428571428571,0.265,1.0610000000000002,300.37735849056605,0.05283018867924528,0.06691800188501412
66,java.util.HashMap.resize,1,560,65,0.002,0.008,300.0,0.265,1.0610000000000002,300.37735849056605,0.007547169811320755,0.007540056550424127
66,java.util.HashMap.resize,1,566,66,0.008,0.017,112.5,0.265,1.0610000000000002,300.37735849056605,0.03018867924528302,0.01602262016965127
66,java.util.HashMap.resize,1,564,67,0.009,0.078,766.6666666666667,0.265,1.0610000000000002,300.37735849056605,0.03396226415094339,0.07351555136663523
66,java.util.HashMap.resize,1,565,68,0.002,0.01,400.0,0.265,1.0610000000000002,300.37735849056605,0.007547169811320755,0.00942507068803016
66,java.util.HashMap.resize,1,577,69,0.008,0.019,137.5,0.265,1.0610000000000002,300.37735849056605,0.03018867924528302,0.0179076343072573
66,java.util.HashMap.resize,1,561,70,0.0,0.013,0.0,0.265,1.0610000000000002,300.37735849056605,0.0,0.012252591894439205
66,java.util.HashMap.resize,1,562,71,0.022,0.092,318.1818181818182,0.265,1.0610000000000002,300.37735849056605,0.0830188679245283,0.08671065032987746
66,java.util.HashMap.resize,2,507,24,0.0,0.011,0.0,0.024,0.119,395.83333333333337,0.0,0.09243697478991597
66,java.util.HashMap.resize,2,506,25,0.014,0.078,457.1428571428571,0.024,0.119,395.83333333333337,0.5833333333333334,0.6554621848739496
586,scala.concurrent.stm.ccstm.InTxnRefOps.get,0,787,26,1.769,1.687,-4.635387224420568,1.9739999999999998,2.042,3.444782168186427,0.8961499493414388,0.8261508325171402
586,scala.concurrent.stm.ccstm.InTxnRefOps.get,0,788,26,0.034,0.066,94.11764705882352,1.9739999999999998,2.042,3.444782168186427,0.01722391084093212,0.03232125367286974
586,scala.concurrent.stm.ccstm.InTxnRefOps.get,0,806,27,0.0,0.001,0.0,1.9739999999999998,2.042,3.444782168186427,0.0,0.0004897159647404506
586,scala.concurrent.stm.ccstm.InTxnRefOps.get,0,789,31,0.06,0.103,71.66666666666667,1.9739999999999998,2.042,3.444782168186427,0.030395136778115506,0.050440744368266406
586,scala.concurrent.stm.ccstm.InTxnRefOps.get,0,792,32,0.01,0.046,359.99999999999994,1.9739999999999998,2.042,3.444782168186427,0.005065856129685918,0.022526934378060727
586,scala.concurrent.stm.ccstm.InTxnRefOps.get,0,801,33,0.001,0.001,0.0,1.9739999999999998,2.042,3.444782168186427,0.0005065856129685917,0.0004897159647404506
586,scala.concurrent.stm.ccstm.InTxnRefOps.get,0,802,34,0.001,0.0,-100.0,1.9739999999999998,2.042,3.444782168186427,0.0005065856129685917,0.0
586,scala.concurrent.stm.ccstm.InTxnRefOps.get,0,805,37,0.008,0.003,-62.5,1.9739999999999998,2.042,3.444782168186427,0.004052684903748734,0.0014691478942213518
586,scala.concurrent.stm.ccstm.InTxnRefOps.get,0,793,39,0.032,0.041,28.125,1.9739999999999998,2.042,3.444782168186427,0.016210739614994935,0.020078354554358475
