comp_id,method,loop_id,probe_node,probe_graal_block_id
52,java.util.ImmutableCollections$SetN$SetNIterator.next,0,b4,4
56,java.util.HashMap.putVal,0,b53,53
57,java.lang.String.equals,0,b13,13
66,java.util.HashMap.resize,2,b23,23
66,java.util.HashMap.resize,0,b48,48
66,java.util.HashMap.resize,1,b62,62
80,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b18,18
80,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b21,21
80,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b24,24
81,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b9,9
81,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b12,12
81,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b15,15
84,java.lang.StringCoding.countPositives,0,b22,22
85,java.lang.StringCoding.countPositives,0,b11,11
135,BuboAgentCompilerMarkers.warmupMarkers,0,b2,2
135,BuboAgentCompilerMarkers.warmupMarkers,1,b5,5
135,BuboAgentCompilerMarkers.warmupMarkers,2,b8,8
136,BuboAgentCompilerMarkers.warmupMarkers,0,b0,0
136,BuboAgentCompilerMarkers.warmupMarkers,1,b3,3
136,BuboAgentCompilerMarkers.warmupMarkers,2,b6,6
162,java.io.BufferedInputStream.getBufIfOpen,0,b6,6
193,java.util.regex.Pattern$BmpCharPropertyGreedy.match,0,b9,9
206,java.util.Properties$LineReader.readLine,1,b66,66
206,java.util.Properties$LineReader.readLine,2,b98,98
206,java.util.Properties$LineReader.readLine,0,b113,113
206,java.util.Properties$LineReader.readLine,3,b139,139
207,java.util.Properties$LineReader.readLine,0,b0,0
207,java.util.Properties$LineReader.readLine,1,b23,23
207,java.util.Properties$LineReader.readLine,2,b32,32
207,java.util.Properties$LineReader.readLine,3,b64,64
208,java.util.Properties.loadConvert,0,b29,29
208,java.util.Properties.loadConvert,1,b49,49
209,java.util.Properties.loadConvert,0,b11,11
209,java.util.Properties.loadConvert,1,b30,30
220,java.lang.StringLatin1.indexOfChar,0,b11,11
227,java.lang.StringUTF16.compress,0,b36,36
228,java.lang.StringUTF16.compress,0,b15,15
229,java.util.Properties.loadConvert,0,b29,29
229,java.util.Properties.loadConvert,1,b49,49
230,java.util.Properties.loadConvert,0,b11,11
230,java.util.Properties.loadConvert,1,b30,30
244,java.lang.StringCoding.countNonZeroAsciiLatin1,0,b11,11
247,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,0,b26,26
248,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,0,b10,10
270,jdk.internal.util.ArraysSupport.vectorizedHashCode,0,b17,17
270,jdk.internal.util.ArraysSupport.vectorizedHashCode,1,b20,20
270,jdk.internal.util.ArraysSupport.vectorizedHashCode,2,b23,23
279,java.util.jar.JarFile.match,2,b41,41
279,java.util.jar.JarFile.match,0,b65,65
279,java.util.jar.JarFile.match,1,b67,67
280,java.util.jar.JarFile.match,0,b0,0
280,java.util.jar.JarFile.match,1,b2,2
284,java.util.jar.Manifest$FastInputStream.readLine,0,b2,2
284,java.util.jar.Manifest$FastInputStream.readLine,1,b22,22
285,java.util.HashMap.getNode,0,b33,33
287,java.util.HashMap.get,0,b34,34
290,java.util.HashMap$HashIterator.nextNode,0,b5,5
292,java.util.HashMap$KeyIterator.next,0,b5,5
294,java.util.HashMap.resize,2,b21,21
294,java.util.HashMap.resize,0,b61,61
294,java.util.HashMap.resize,1,b75,75
295,java.util.HashMap.resize,2,b24,24
295,java.util.HashMap.resize,0,b49,49
295,java.util.HashMap.resize,1,b63,63
296,java.util.HashMap.putMapEntries,0,b8,8
297,java.util.LinkedHashMap.<init>,0,b8,8
298,java.util.jar.Attributes.clone,0,b11,11
299,java.util.jar.Attributes.<init>,0,b11,11
302,sun.net.www.protocol.jar.URLJarFile.getManifest,1,b10,10
302,sun.net.www.protocol.jar.URLJarFile.getManifest,2,b56,56
302,sun.net.www.protocol.jar.URLJarFile.getManifest,3,b87,87
302,sun.net.www.protocol.jar.URLJarFile.getManifest,0,b105,105
302,sun.net.www.protocol.jar.URLJarFile.getManifest,4,b112,112
302,sun.net.www.protocol.jar.URLJarFile.getManifest,5,b166,166
302,sun.net.www.protocol.jar.URLJarFile.getManifest,6,b203,203
303,sun.net.www.protocol.jar.URLJarFile.getManifest,0,b29,29
308,java.util.Arrays.copyOfRange,0,b13,13
315,java.lang.StringLatin1.lastIndexOf,0,b22,22
316,java.lang.StringLatin1.lastIndexOf,0,b11,11
325,java.lang.StringLatin1.replace,0,b41,41
326,java.lang.StringLatin1.replace,0,b5,5
326,java.lang.StringLatin1.replace,3,b17,17
326,java.lang.StringLatin1.replace,1,b31,31
326,java.lang.StringLatin1.replace,2,b47,47
339,java.util.concurrent.ConcurrentHashMap.transfer,3,b47,47
339,java.util.concurrent.ConcurrentHashMap.transfer,4,b56,56
339,java.util.concurrent.ConcurrentHashMap.transfer,0,b96,96
339,java.util.concurrent.ConcurrentHashMap.transfer,1,b137,137
339,java.util.concurrent.ConcurrentHashMap.transfer,2,b155,155
340,java.util.concurrent.ConcurrentHashMap.transfer,3,b5,5
340,java.util.concurrent.ConcurrentHashMap.transfer,0,b14,14
340,java.util.concurrent.ConcurrentHashMap.transfer,1,b55,55
340,java.util.concurrent.ConcurrentHashMap.transfer,2,b73,73
346,java.util.HashMap.get,0,b36,36
406,java.lang.StringLatin1.indexOf,3,b31,31
406,java.lang.StringLatin1.indexOf,4,b44,44
406,java.lang.StringLatin1.indexOf,0,b67,67
406,java.lang.StringLatin1.indexOf,1,b82,82
406,java.lang.StringLatin1.indexOf,2,b93,93
407,java.lang.StringLatin1.indexOf,0,b5,5
407,java.lang.StringLatin1.indexOf,1,b20,20
423,java.util.concurrent.ConcurrentHashMap.putVal,0,b11,11
423,java.util.concurrent.ConcurrentHashMap.putVal,1,b62,62
423,java.util.concurrent.ConcurrentHashMap.putVal,2,b111,111
424,java.util.Properties.load0,2,b36,36
424,java.util.Properties.load0,0,b89,89
424,java.util.Properties.load0,1,b109,109
425,java.util.Properties.load0,0,b6,6
425,java.util.Properties.load0,1,b26,26
429,java.util.concurrent.ConcurrentHashMap.get,0,b16,16
436,java.lang.String.substring,0,b28,28
437,jdk.internal.classfile.impl.SplitConstantPool.internalAdd,0,b53,53
438,jdk.internal.classfile.impl.SplitConstantPool.internalAdd,0,b50,50
439,jdk.internal.classfile.impl.EntryMap.put,0,b11,11
442,org.renaissance.harness.RenaissanceSuite$.getVmStartNanos,2,b2,2
442,org.renaissance.harness.RenaissanceSuite$.getVmStartNanos,0,b12,12
442,org.renaissance.harness.RenaissanceSuite$.getVmStartNanos,1,b14,14
443,org.renaissance.harness.RenaissanceSuite$.getVmStartNanos,0,b0,0
443,org.renaissance.harness.RenaissanceSuite$.getVmStartNanos,1,b2,2
462,sun.net.www.ParseUtil.firstEncodeIndex,0,b45,45
463,sun.net.www.ParseUtil.firstEncodeIndex,0,b23,23
477,java.util.Arrays.fill,0,b25,25
477,java.util.Arrays.fill,1,b28,28
477,java.util.Arrays.fill,2,b31,31
479,java.util.regex.Pattern$BmpCharPropertyGreedy.match,0,b15,15
480,java.util.regex.Pattern$Start.match,0,b3,3
480,java.util.regex.Pattern$Start.match,1,b20,20
485,java.lang.StringLatin1.inflate,0,b34,34
485,java.lang.StringLatin1.inflate,1,b37,37
485,java.lang.StringLatin1.inflate,2,b40,40
486,java.lang.StringLatin1.inflate,0,b14,14
486,java.lang.StringLatin1.inflate,1,b17,17
486,java.lang.StringLatin1.inflate,2,b20,20
488,java.util.regex.Matcher.search,0,b4,4
489,java.io.BufferedReader.readLine,1,b28,28
489,java.io.BufferedReader.readLine,0,b52,52
489,java.io.BufferedReader.readLine,2,b82,82
490,java.io.BufferedReader.readLine,0,b60,60
490,java.io.BufferedReader.readLine,1,b83,83
490,java.io.BufferedReader.readLine,2,b130,130
498,java.util.regex.Matcher.find,0,b14,14
500,java.lang.String.subSequence,0,b28,28
511,java.util.regex.Pattern.split,4,b6,6
511,java.util.regex.Pattern.split,5,b15,15
511,java.util.regex.Pattern.split,6,b24,24
511,java.util.regex.Pattern.split,2,b35,35
511,java.util.regex.Pattern.split,0,b46,46
511,java.util.regex.Pattern.split,3,b61,61
511,java.util.regex.Pattern.split,7,b111,111
511,java.util.regex.Pattern.split,8,b135,135
511,java.util.regex.Pattern.split,9,b183,183
511,java.util.regex.Pattern.split,1,b236,236
511,java.util.regex.Pattern.split,10,b259,259
512,java.util.Spliterators$ArraySpliterator.forEachRemaining,0,b8,8
522,java.util.regex.Pattern.compile,2,b4,4
522,java.util.regex.Pattern.compile,0,b15,15
522,java.util.regex.Pattern.compile,1,b29,29
522,java.util.regex.Pattern.compile,3,b42,42
530,java.lang.String.split,0,b9,9
531,java.lang.String.split,0,b9,9
547,org.renaissance.jdk.streams.JavaScrabble$$Lambda/0x00000000991165d0.apply,0,b9,9
548,org.renaissance.jdk.streams.JavaScrabble.lambda$resourceAsWords$0,0,b2,2
550,java.util.Iterator.forEachRemaining,0,b3,3
551,java.util.Iterator.forEachRemaining,0,b8,8
553,java.util.Arrays.copyOf,0,b4,4
553,java.util.Arrays.copyOf,1,b20,20
554,java.util.ArrayList.grow,0,b5,5
554,java.util.ArrayList.grow,1,b18,18
554,java.util.ArrayList.grow,2,b32,32
598,java.util.HashMap$EntrySpliterator.forEachRemaining,0,b21,21
600,java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial,0,b23,23
602,java.util.HashMap.replaceAll,0,b2,2
602,java.util.HashMap.replaceAll,1,b4,4
698,java.util.regex.Matcher.reset,0,b2,2
