Method: __memset_avx2_unaligned_erms, Block ID: 1, Normal Time: 0.019, Slowdown Time: 0.006, Percentage Increase: -68.42105263157895%
Method: __memset_avx2_unaligned_erms, Block ID: 2, Normal Time: 0.003, Slowdown Time: 0.003, Percentage Increase: 0.0%
Method: __memset_avx2_unaligned_erms, Block ID: 3, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: __memset_avx2_unaligned_erms, Block ID: 5, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: __memset_avx2_unaligned_erms, Block ID: 7, Normal Time: 0.008, Slowdown Time: 0.01, Percentage Increase: 25.0%
Method: __memset_avx2_unaligned_erms, Block ID: 25, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: __memset_avx2_unaligned_erms, Block ID: 27, Normal Time: 0.002, Slowdown Time: 0.001, Percentage Increase: -50.0%
Method: __memset_avx2_unaligned_erms, Block ID: 15, Normal Time: 11.552, Slowdown Time: 11.508, Percentage Increase: -0.380886426592802%
Method: __memset_avx2_unaligned_erms, Median Percentage Increase: 25.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 518, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 520, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 524, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 525, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1038, Normal Time: 0.016, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1040, Normal Time: 0.012, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1041, Normal Time: 0.007, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1054, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1059, Normal Time: 0.008, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 547, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 553, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1075, Normal Time: 0.267, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1076, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1081, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1082, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1084, Normal Time: 0.004, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1085, Normal Time: 0.005, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1088, Normal Time: 0.043, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1089, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 584, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 76, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 80, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 115, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 627, Normal Time: 0.0, Slowdown Time: 0.01, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 642, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1682, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 186, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 189, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 818, Normal Time: 0.028, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 819, Normal Time: 0.009, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 820, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
