compilation_id,block_id,lir_class,bytes,has_source,source,disasm
"HotSpotCompilation-28[java.lang.String.isLatin1()]","0","jdk.graal.compiler.lir.amd64.AMD64Move$MoveFromRegOp","48 89 6c 24 10",false,"null","mov qword ptr [rsp + 0x10], rbp"
"HotSpotCompilation-28[java.lang.String.isLatin1()]","0","jdk.graal.compiler.lir.amd64.AMD64ControlFlow$CmpConstBranchOp","90 80 7e 10 00 0f 85 00 00 00 00",true,"at java.lang.String.isLatin1(String.java:4821) [bci: 10]","nop; cmp byte ptr [rsi + 0x10], 0; jne 0xb"
"HotSpotCompilation-28[java.lang.String.isLatin1()]","1","jdk.graal.compiler.lir.amd64.AMD64Move$MoveFromConstOp","b8 01 00 00 00",true,"at java.lang.String.isLatin1(String.java:4821) [bci: 18]","mov eax, 1"
"HotSpotCompilation-28[java.lang.String.isLatin1()]","1","jdk.graal.compiler.hotspot.amd64.AMD64HotSpotReturnOp","48 8b 6c 24 10 48 83 c4 18 0f 1f 84 00 00 00 00 00 49 3b a7 50 04 00 00 0f 87 00 00 00 00 c3",true,"at java.lang.String.isLatin1(String.java:4821) [bci: 18]","mov rbp, qword ptr [rsp + 0x10]; add rsp, 0x18; nop dword ptr [rax + rax]; cmp rsp, qword ptr [r15 + 0x450]; ja 0x1e; ret"
"HotSpotCompilation-28[java.lang.String.isLatin1()]","2","jdk.graal.compiler.lir.amd64.AMD64BinaryConsumer$MemoryConstOp","41 c7 87 84 04 00 00 ed ff ff ff",true,"at java.lang.String.isLatin1(String.java:4821) [bci: 10]","mov dword ptr [r15 + 0x484], 0xffffffed"
"HotSpotCompilation-28[java.lang.String.isLatin1()]","2","jdk.graal.compiler.lir.amd64.AMD64BinaryConsumer$MemoryConstOp","49 c7 87 90 04 00 00 14 00 00 00",true,"at java.lang.String.isLatin1(String.java:4821) [bci: 10]","mov qword ptr [r15 + 0x490], 0x14"
"HotSpotCompilation-28[java.lang.String.isLatin1()]","2","jdk.graal.compiler.hotspot.amd64.AMD64DeoptimizeOp","e8 00 00 00 00 0f 1f 84 00 00 00 00 00",true,"at java.lang.String.isLatin1(String.java:4821) [bci: 10]","call 5; nop dword ptr [rax + rax]"
"StubCompilation-161[Stub<ExceptionHandlerStub.exceptionHandler>]","0","jdk.graal.compiler.lir.amd64.AMD64BinaryConsumer$MemoryMROp","49 89 87 00 05 00 00",true,"at jdk.graal.compiler.hotspot.stubs.ExceptionHandlerStub.exceptionHandler(Object, Word, Register, boolean) [bci: -6] Placeholder","mov qword ptr [r15 + 0x500], rax"
"StubCompilation-161[Stub<ExceptionHandlerStub.exceptionHandler>]","0","jdk.graal.compiler.lir.amd64.AMD64BinaryConsumer$MemoryMROp","49 89 97 08 05 00 00",true,"at jdk.graal.compiler.hotspot.stubs.ExceptionHandlerStub.exceptionHandler(Object, Word, Register, boolean) [bci: -6] Placeholder","mov qword ptr [r15 + 0x508], rdx"
"StubCompilation-161[Stub<ExceptionHandlerStub.exceptionHandler>]","0","jdk.graal.compiler.hotspot.amd64.AMD64HotSpotPatchReturnAddressOp","48 89 54 24 18",true,"at jdk.graal.compiler.hotspot.stubs.ExceptionHandlerStub.exceptionHandler(Object, Word, Register, boolean) [bci: -6] Placeholder","mov qword ptr [rsp + 0x18], rdx"
"StubCompilation-161[Stub<ExceptionHandlerStub.exceptionHandler>]","0","jdk.graal.compiler.hotspot.amd64.AMD64HotSpotCRuntimeCallPrologueOp","49 89 a7 98 03 00 00",true,"at jdk.graal.compiler.hotspot.stubs.ExceptionHandlerStub.exceptionHandler(Object, Word, Register, boolean) [bci: -6] Placeholder","mov qword ptr [r15 + 0x398], rsp"
"StubCompilation-161[Stub<ExceptionHandlerStub.exceptionHandler>]","0","jdk.graal.compiler.lir.amd64.AMD64Move$MoveFromRegOp","49 8b ff",true,"at jdk.graal.compiler.hotspot.stubs.ExceptionHandlerStub.exceptionHandler(Object, Word, Register, boolean) [bci: -6] Placeholder","mov rdi, r15"
