block_id,total_instructions,disasm,distinct_sources,has_source_ratio,source_counts_json
"0","6","mov qword ptr [rsp + 0x40], rbp; mov qword ptr [rsp], rsi; mov dword ptr [rsp + 0x34], edx; mov r10d, dword ptr [rsi + 0x10]; cmp dword ptr [r10*8 + 0xc], 0; je 0xf","2","0.500","{""null"":3,""at Queens.getRowColumn(int, int) [bci: 1]"":1,""at Queens.getRowColumn(int, int) [bci: 5]"":2}"
"2","10","mov r11d, r10d; shl r11, 3; mov r8d, edx; inc r8d; mov dword ptr [rsp + 0x30], r8d; lea r9d, [rdx + 7]; mov dword ptr [rsp + 0x2c], r9d; nop word ptr [rax + rax]; cmp byte ptr [r10*8 + 0x10], 0; jne 0x1a","4","0.800","{""at Queens.getRowColumn(int, int) [bci: 1]"":2,""at Queens.placeQueen(int) [bci: 42]"":2,""null"":2,""at Queens.getRowColumn(int, int) [bci: 29]"":1,""at Queens.getRowColumn(int, int) [bci: 6]"":3}"
"20","2","cmp dword ptr [r11 + 0xc], 2; jb 0xb","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 5]"":2}"
"22","4","lea r10d, [rdx + 6]; mov dword ptr [rsp + 0x1c], r10d; cmp byte ptr [r11 + 0x11], 0; jne 0xb","2","0.750","{""at Queens.getRowColumn(int, int) [bci: 29]"":1,""null"":1,""at Queens.getRowColumn(int, int) [bci: 6]"":2}"
"23","2","mov r8d, dword ptr [rsp + 0x30]; mov r9d, r10d","0","0.000","{""null"":2}"
"40","3","nop word ptr [rax + rax]; cmp dword ptr [r11 + 0xc], 3; jb 0x15","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 5]"":3}"
"42","8","mov edx, dword ptr [rsp + 0x34]; lea r10d, [rdx + 5]; mov dword ptr [rsp + 0x18], r10d; lea ecx, [rdx + 2]; mov dword ptr [rsp + 0x14], ecx; nop; cmp byte ptr [r11 + 0x12], 0; jne 0xc","3","0.625","{""null"":3,""at Queens.getRowColumn(int, int) [bci: 29]"":1,""at Queens.getRowColumn(int, int) [bci: 15]"":1,""at Queens.getRowColumn(int, int) [bci: 6]"":3}"
"43","1","mov r8d, r10d","0","0.000","{""null"":1}"
"60","2","cmp dword ptr [r11 + 0xc], 4; jb 0xb","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 5]"":2}"
"62","7","mov edx, dword ptr [rsp + 0x34]; lea r10d, [rdx + 4]; mov dword ptr [rsp + 0x10], r10d; lea r9d, [rdx + 3]; mov dword ptr [rsp + 0xc], r9d; cmp byte ptr [r11 + 0x13], 0; jne 0xb","3","0.571","{""null"":3,""at Queens.getRowColumn(int, int) [bci: 29]"":1,""at Queens.getRowColumn(int, int) [bci: 15]"":1,""at Queens.getRowColumn(int, int) [bci: 6]"":2}"
"63","1","mov r8d, r10d","0","0.000","{""null"":1}"
"80","3","nop; cmp dword ptr [r11 + 0xc], 5; jb 0xe","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 5]"":3}"
"82","2","cmp byte ptr [r11 + 0x14], 0; jne 0xb","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 6]"":2}"
"100","3","nop word ptr [rax + rax]; cmp dword ptr [r11 + 0xc], 6; jb 0x15","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 5]"":3}"
"102","2","cmp byte ptr [r11 + 0x15], 0; jne 0xb","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 6]"":2}"
"120","3","nop word ptr [rax + rax]; cmp dword ptr [r11 + 0xc], 7; jb 0x15","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 5]"":3}"
"122","2","cmp byte ptr [r11 + 0x16], 0; jne 0xb","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 6]"":2}"
"123","1","mov r9d, dword ptr [rsp + 0x30]","0","0.000","{""null"":1}"
"140","3","nop dword ptr [rax + rax]; cmp dword ptr [r11 + 0xc], 8; jb 0x10","1","1.000","{""at Queens.getRowColumn(int, int) [bci: 5]"":3}"
