Benchmark,Compilation Unit
Bounce,Bounce.benchmark
CD,cd.CollisionDetector$RemoveAbsentAircraft.apply
CD,cd.CollisionDetector.handleNewFrame
CD,cd.CollisionDetector.putIntoMap
CD,cd.CollisionDetector.recurse
CD,cd.CollisionDetector.reduceCollisionSet
CD,cd.RedBlackTree.findNode
CD,cd.RedBlackTree.forEach
CD,cd.RedBlackTree.put
CD,cd.RedBlackTree.treeInsert
DeltaBlue,deltablue.EqualityConstraint.execute
DeltaBlue,deltablue.Plan.execute
DeltaBlue,deltablue.Planner.change
DeltaBlue,deltablue.Planner.makePlan
DeltaBlue,deltablue.Planner.removePropagateFrom
Havlak,havlak.HavlakLoopFinder$1.apply
Havlak,havlak.HavlakLoopFinder.doDFS
Havlak,havlak.HavlakLoopFinder.findLoops
Havlak,havlak.HavlakLoopFinder.identifyEdges
Havlak,havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1
Havlak,havlak.HavlakLoopFinder.setLoopAttributes
Havlak,havlak.LoopStructureGraph$1.apply
Havlak,havlak.LoopTesterApp.main
Havlak,som.Vector.forEach
Json,json.JsonPureStringParser.isDigit
Json,json.JsonPureStringParser.isWhiteSpace
Json,json.JsonPureStringParser.read
Json,json.JsonPureStringParser.readArray
Json,json.JsonPureStringParser.readNull
Json,json.JsonPureStringParser.readNumber
Json,json.JsonPureStringParser.readObject
Json,json.JsonPureStringParser.readStringInternal
Json,json.JsonPureStringParser.readValue
Json,json.JsonPureStringParser.subStringFromTo
List,List.tail
Mandelbrot,Mandelbrot.mandelbrot
NBody,NBody.innerBenchmarkLoop
Permute,Permute.permute
Queens,Queens.placeQueen
Richards,richards.Scheduler$DeviceProcessFunction.apply
Richards,richards.Scheduler$HandlerProcessFunction.apply
Richards,richards.Scheduler$IdleProcessFunction.apply
Richards,richards.Scheduler$WorkerProcessFunction.apply
Richards,richards.Scheduler.schedule
Sieve,Benchmark.innerBenchmarkLoop
Storage,som.Arrays.setAll
Storage,Storage.buildTreeDepth
Towers,Towers.moveDisks
