benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,Mandelbrot.mandelbrot,8415405,99.62,84535137382
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,do_user_addr_fault_[k],578,0.01,5894077
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,java.lang.AbstractStringBuilder* java.lang.AbstractStringBuilder::append,354,0.0,3504992
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,__fpu_restore_sig_[k],45,0.0,2704154
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,java.lang.String* com.oracle.svm.core.util.Utf8::utf8ToString,262,0.0,2601122
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,next_uptodate_page_[k],220,0.0,2272440
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,_raw_spin_unlock_irqrestore_[k],172,0.0,2127977
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,void com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor::visitObjectReferences,207,0.0,2079134
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,int org.graalvm.collections.EconomicMapImpl::findLinear,203,0.0,2025159
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,clear_page_erms_[k],183,0.0,1961630
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.PredicatedProxyNodeIterator::forward,184,0.0,1852628
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,void com.oracle.svm.core.graal.jdk.SubstrateArraycopySnippets::doArraycopy,184,0.0,1818124
Mandelbrot,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/Mandelbrot_BuboOff.txt,8446398,InstanceKlass::find_method_index,157,0.0,1571031
