benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.String.equals,1623225,24.09,16310073281
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.String.hashCode,1091974,16.2,10969370222
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.StringLatin1.toBytes,447456,6.65,4499425889
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.AbstractStringBuilder.<init>,433284,6.42,4349681032
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.subStringFromTo,423186,6.27,4247507538
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readStringInternal,410723,6.1,4128646811
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.read,341433,5.07,3432557068
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.String.valueOf,303110,4.5,3048353599
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,som.Vector.<init>,178676,2.65,1796193385
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,som.Vector.append,122879,1.82,1234521759
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readNumber,119599,1.77,1199953628
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.isWhiteSpace,104505,1.55,1049854579
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readChar,101967,1.51,1023526313
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readValue,97110,1.44,975388700
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.isDigit,74028,1.1,743064964
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,jbyte_disjoint_arraycopy,56889,0.84,571344792
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.AbstractStringBuilder.append,45626,0.68,457833964
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,jdk.internal.util.ArraysSupport.hashCodeOfUnsigned,44541,0.66,447312260
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readDigit,42412,0.63,425618682
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readArray,41299,0.61,414970915
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.StringLatin1.charAt,35828,0.53,360133801
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.endCapture,34594,0.51,347308877
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.StringLatin1.hashCode,32009,0.47,321561840
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.String.isLatin1,30469,0.45,306066456
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonObject$HashIndexTable.<init>,28851,0.43,290043048
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.Object.clone,28722,0.43,288364263
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,G1ParScanThreadState::trim_queue_to_threshold,28391,0.42,287640175
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,jdk.internal.util.Preconditions.checkIndex,27127,0.4,272564286
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.AbstractStringBuilder.needsNewBuffer,21798,0.32,218752223
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.StringBuilder.toString,21458,0.32,215682257
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.skipWhiteSpace,19971,0.3,200582262
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readObject,17393,0.26,174945495
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readString,14386,0.21,144617495
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.startCapture,10402,0.15,104436584
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonArray.<init>,9290,0.14,93390411
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonObject.<init>,7923,0.12,79626955
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readNull,7114,0.11,71417967
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,G1HeapRegionManager::par_iterate,5442,0.09,62461926
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readRequiredChar,6120,0.09,61502195
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.String.coder,5687,0.08,57086429
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonPureStringParser.readName,5396,0.08,54260383
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,json.JsonObject$HashIndexTable.add,5318,0.08,53416603
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.lang.String.length,4815,0.07,48402402
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.util.Arrays.copyOfRange,4204,0.06,42230945
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,"void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>",3492,0.05,35437751
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,void com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor::visitObjectReferences,3339,0.05,33422923
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,__futex_abstimed_wait_common,2103,0.04,26691822
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,G1ParScanThreadState::steal_and_trim_queue,2522,0.04,25604458
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,__memset_avx2_unaligned_erms,2313,0.04,24664687
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,__memmove_sse2_unaligned_erms,2372,0.04,24098443
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,_raw_spin_unlock_irqrestore_[k],1827,0.03,23428805
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,void com.oracle.svm.core.genscavenge.GreyToBlackObjectVisitor::visitObject,2118,0.03,21187298
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,[vdso],1630,0.03,18299217
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,__audit_syscall_exit_[k],1222,0.03,18255273
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,do_user_addr_fault_[k],1683,0.03,17519986
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,syscall_enter_from_user_mode_[k],1369,0.03,17352656
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,exit_to_user_mode_loop_[k],1067,0.02,15479511
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,blkcg_maybe_throttle_current_[k],1001,0.02,14490182
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,SpinPause,1349,0.02,13584033
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,java.util.Arrays.copyOf,1346,0.02,13564350
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,G1HeapRegionClaimer::claim_region,1126,0.02,12935743
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,int org.graalvm.collections.EconomicMapImpl::findLinear,1198,0.02,11975953
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,__tls_get_addr,1098,0.02,11569829
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,void com.oracle.svm.core.UnmanagedMemoryUtil::copyLongsForward,1142,0.02,11394525
Json,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Json_BuboOn.txt,6727175,mem_cgroup_handle_over_high_[k],728,0.02,10722470
