benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,nbody.NBodySystem.advance,5216826,72.59,52397945685
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,java.lang.Math.sqrt,308756,4.3,3101306020
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,nbody.Body.getZ,284701,3.96,2859176348
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,nbody.Body.getX,249448,3.47,2505219205
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,nbody.Body.setVX,239502,3.33,2405398909
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,nbody.Body.getVZ,189982,2.64,1907984208
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,nbody.Body.setVZ,176547,2.46,1773092168
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,nbody.Body.getVY,113626,1.58,1141113455
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,nbody.Body.getVX,98594,1.37,990143165
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,nbody.Body.setZ,72145,1.0,724525232
