benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.NBodySystem.advance,5236642,72.72,52594406619
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.getZ,304014,4.22,3053045721
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,java.lang.Math.sqrt,288161,4.0,2894220898
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.setVX,239581,3.33,2406064624
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.getX,227512,3.16,2284797704
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.getVZ,187007,2.6,1878028500
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.setVZ,175694,2.44,1764519313
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.getVX,119712,1.66,1202234275
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.getVY,113211,1.57,1136946466
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.setZ,71031,0.99,713362157
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,NBody.innerBenchmarkLoop,48683,0.68,488953384
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.getY,48587,0.67,487951139
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.setVY,27967,0.39,280877806
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.setX,24175,0.34,242780984
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.setY,23898,0.33,240002858
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,java.lang.String.hashCode,17971,0.25,180776593
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,nbody.Body.getMass,7495,0.1,75252629
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,do_user_addr_fault_[k],578,0.01,5924210
NBody,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOn.txt,7200481,java.lang.AbstractStringBuilder* java.lang.AbstractStringBuilder::append,366,0.01,3641713
