benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,Sieve.sieve,16350378,75.96,164226520237
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,java.lang.String.hashCode,3978033,18.49,39975024961
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,java.util.Arrays.fill,1005836,4.66,10079934078
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,Sieve.benchmark,102491,0.48,1042047900
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,Sieve.verifyResult,15187,0.07,152491970
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,G1ParScanThreadState::trim_queue_to_threshold,2363,0.01,23677144
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,__memset_avx2_unaligned_erms,1591,0.01,17134257
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,G1HeapRegionManager::par_iterate,1005,0.01,11058487
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,__futex_abstimed_wait_common,742,0.0,9611392
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,_raw_spin_unlock_irqrestore_[k],618,0.0,8125704
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,do_user_addr_fault_[k],629,0.0,6467840
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,__audit_syscall_exit_[k],397,0.0,6359283
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,[vdso],481,0.0,5463872
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,mem_cgroup_handle_over_high_[k],349,0.0,5155205
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,G1CodeRootSet::reset_table_scanner,375,0.0,4770720
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,Benchmark.innerBenchmarkLoop,471,0.0,4752930
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,"void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>",473,0.0,4745232
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,blkcg_maybe_throttle_current_[k],317,0.0,4563453
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,__get_user_8_[k],283,0.0,4507233
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,syscall_enter_from_user_mode_[k],390,0.0,4453287
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,exit_to_user_mode_loop_[k],306,0.0,4336551
