benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,Mandelbrot.mandelbrot,10228755,94.6,102722024666
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,java.lang.String.hashCode,551481,5.1,5539367206
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,do_user_addr_fault_[k],617,0.01,6310437
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,java.lang.AbstractStringBuilder* java.lang.AbstractStringBuilder::append,405,0.0,4015671
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,java.lang.String* com.oracle.svm.core.util.Utf8::utf8ToString,269,0.0,2679812
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,_raw_spin_unlock_irqrestore_[k],200,0.0,2421093
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,next_uptodate_page_[k],218,0.0,2256600
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,void com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor::visitObjectReferences,218,0.0,2192100
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.PredicatedProxyNodeIterator::forward,219,0.0,2191724
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,void com.oracle.svm.core.graal.jdk.SubstrateArraycopySnippets::doArraycopy,201,0.0,2003746
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,clear_page_erms_[k],179,0.0,1948747
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,void com.oracle.svm.core.c.function.CEntryPointSetup$LeaveEpilogue::leave,188,0.0,1859395
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,InstanceKlass::find_method_index,185,0.0,1857389
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,int org.graalvm.collections.EconomicMapImpl::findLinear,184,0.0,1837916
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,void com.oracle.svm.core.UnmanagedMemoryUtil::copyLongsForward,151,0.0,1497197
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,void com.oracle.svm.core.genscavenge.GreyToBlackObjectVisitor::visitObject,139,0.0,1396869
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,__list_del_entry_valid_[k],120,0.0,1318910
Mandelbrot,BuboOn,bubo_runs6_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs6_BuboWithDebug/async/Mandelbrot_BuboOn.txt,10812389,void java.util.ArrayList::add,130,0.0,1304800
